G,Date,Type,Opponent,,Tm,Opp
1,Mon Nov 6 2023,REG,South Dakota State,W,81,75
2,Fri Nov 10 2023,REG,Southern Mississippi,W,72,54
3,Tue Nov 14 2023,REG,Heidelberg,W,114,56
4,Sun Nov 19 2023,REG,Florida International,W,77,71
5,Mon Nov 20 2023,REG,Utah State,L,62,65
6,Tue Nov 21 2023,REG,Drake,L,59,79
7,Tue Nov 28 2023,REG,Nevada-Las Vegas,L,70,72
8,Tue Dec 5 2023,REG,Bradley,W,67,52
9,Sat Dec 9 2023,REG,Northern Kentucky,W,77,76
10,Sun Dec 17 2023,REG,Miami-Hamilton,W,88,45
11,Thu Dec 21 2023,REG,Gardner-Webb,W,94,90
12,Sat Dec 30 2023,REG,St. Bonaventure,L,61,62
13,Tue Jan 2 2024,REG,Northern Illinois,W,73,51
14,Fri Jan 5 2024,REG,Bowling Green State,W,83,67
15,Tue Jan 9 2024,REG,Ball State,W,80,76
16,Fri Jan 12 2024,REG,Buffalo,W,76,59
17,Tue Jan 16 2024,REG,Western Michigan,W,77,66
18,Fri Jan 19 2024,REG,Kent State,W,77,71
19,Tue Jan 23 2024,REG,Ohio,W,67,58
20,Sat Jan 27 2024,REG,Miami (OH),L,68,70
21,Tue Jan 30 2024,REG,Eastern Michigan,W,77,46
22,Fri Feb 2 2024,REG,Toledo,W,77,70
23,Tue Feb 6 2024,REG,Central Michigan,W,68,47
24,Sat Feb 10 2024,REG,James Madison,L,59,73
25,Sat Feb 17 2024,REG,Buffalo,W,73,62
26,Tue Feb 20 2024,REG,Toledo,L,64,72
27,Fri Feb 23 2024,REG,Kent State,W,83,70
28,Tue Feb 27 2024,REG,Ohio,L,67,74
29,Sat Mar 2 2024,REG,Northern Illinois,W,80,73
30,Tue Mar 5 2024,REG,Eastern Michigan,L,60,61
31,Fri Mar 8 2024,REG,Western Michigan,L,84,90
32,Thu Mar 14 2024,CTOURN,Miami (OH),W,75,63
33,Fri Mar 15 2024,CTOURN,Ohio,W,65,62
34,Sat Mar 16 2024,CTOURN,Kent State,W,62,61
35,Thu Mar 21 2024,NCAA,Creighton (11),L,60,77
