G,Date,Type,Opponent,,Tm,Opp
1,Mon Nov 6 2023,REG,Morehead State,W,105,73
2,Fri Nov 10 2023,REG,Indiana State,W,102,80
3,Tue Nov 14 2023,REG,South Alabama,W,102,46
4,Fri Nov 17 2023,REG,Mercer,W,98,67
5,Fri Nov 24 2023,REG,Ohio State,L,81,92
6,Sat Nov 25 2023,REG,Oregon,W,99,91
7,Tue Nov 28 2023,REG,Clemson,L,77,85
8,Mon Dec 4 2023,REG,Arkansas State,W,89,65
9,Sat Dec 9 2023,REG,Purdue (4),L,86,92
10,Sat Dec 16 2023,REG,Creighton (8),L,82,85
11,Wed Dec 20 2023,REG,Arizona (4),L,74,87
12,Sat Dec 23 2023,REG,Eastern Kentucky,W,111,67
13,Sat Dec 30 2023,REG,Liberty,W,101,56
14,Sat Jan 6 2024,REG,Vanderbilt,W,78,75
15,Tue Jan 9 2024,REG,South Carolina,W,74,47
16,Sat Jan 13 2024,REG,Mississippi State,W,82,74
17,Tue Jan 16 2024,REG,Missouri,W,93,75
18,Sat Jan 20 2024,REG,Tennessee (6),L,71,91
19,Wed Jan 24 2024,REG,Auburn (8),W,79,75
20,Sat Jan 27 2024,REG,Louisiana State,W,109,88
21,Wed Jan 31 2024,REG,Georgia,W,85,76
22,Sat Feb 3 2024,REG,Mississippi State,W,99,67
23,Wed Feb 7 2024,REG,Auburn (12),L,81,99
24,Sat Feb 10 2024,REG,Louisiana State,W,109,92
25,Sat Feb 17 2024,REG,Texas A&M,W,100,75
26,Wed Feb 21 2024,REG,Florida (24),W,98,93
27,Sat Feb 24 2024,REG,Kentucky (17),L,95,117
28,Wed Feb 28 2024,REG,Mississippi,W,103,88
29,Sat Mar 2 2024,REG,Tennessee (4),L,74,81
30,Tue Mar 5 2024,REG,Florida,L,87,105
31,Sat Mar 9 2024,REG,Arkansas,W,92,88
32,Fri Mar 15 2024,CTOURN,Florida,L,88,102
33,Fri Mar 22 2024,NCAA,College of Charleston,W,109,96
34,Sun Mar 24 2024,NCAA,Grand Canyon,W,72,61
35,Thu Mar 28 2024,NCAA,North Carolina (5),W,89,87
36,Sat Mar 30 2024,NCAA,Clemson,W,89,82
37,Sat Apr 6 2024,NCAA,Connecticut (1),L,72,86
