G,Date,Type,Opponent,W/L,Tm,Opp
1,Mon Nov 6 2023,REG,Morgan State,W,122,59
2,Fri Nov 10 2023,REG,Duke (2),W,78,73
3,Mon Nov 13 2023,REG,Southern,W,97,59
4,Fri Nov 17 2023,REG,Belmont,W,100,68
5,Sun Nov 19 2023,REG,UT Arlington,W,101,56
6,Thu Nov 23 2023,REG,Michigan State (21),W,74,68
7,Sat Dec 2 2023,REG,Colgate,W,82,55
8,Sat Dec 9 2023,REG,Wisconsin (23),W,98,73
9,Sat Dec 16 2023,REG,Purdue (3),L,84,92
10,Wed Dec 20 2023,REG,Alabama,W,87,74
11,Sat Dec 23 2023,REG,Florida Atlantic (14),L,95,96
12,Fri Dec 29 2023,REG,California,W,100,81
13,Sun Dec 31 2023,REG,Stanford,L,82,100
14,Thu Jan 4 2024,REG,Colorado,W,97,50
15,Sat Jan 6 2024,REG,Utah,W,92,73
16,Sat Jan 13 2024,REG,Washington State,L,70,73
17,Wed Jan 17 2024,REG,Southern California,W,82,67
18,Sat Jan 20 2024,REG,UCLA,W,77,71
19,Thu Jan 25 2024,REG,Oregon State,L,80,83
20,Sat Jan 27 2024,REG,Oregon,W,87,78
21,Thu Feb 1 2024,REG,California,W,91,65
22,Sun Feb 4 2024,REG,Stanford,W,82,71
23,Thu Feb 8 2024,REG,Utah,W,105,99
24,Sat Feb 10 2024,REG,Colorado,W,99,79
25,Sat Feb 17 2024,REG,Arizona State,W,105,60
26,Thu Feb 22 2024,REG,Washington State (21),L,74,77
27,Sat Feb 24 2024,REG,Washington,W,91,75
28,Wed Feb 28 2024,REG,Arizona State,W,85,67
29,Sat Mar 2 2024,REG,Oregon,W,103,83
30,Thu Mar 7 2024,REG,UCLA,W,88,65
31,Sat Mar 9 2024,REG,Southern California,L,65,78
32,Thu Mar 14 2024,CTOURN,Southern California,W,70,49
33,Fri Mar 15 2024,CTOURN,Oregon,L,59,67
34,Thu Mar 21 2024,NCAA,Long Beach State,W,85,65
35,Sat Mar 23 2024,NCAA,Dayton,W,78,68
36,Thu Mar 28 2024,NCAA,Clemson,L,72,77
