G,Date,Type,Opponent,,Tm,Opp
1,Tue Nov 7 2023,REG,Baylor (20),L,82,88
2,Fri Nov 10 2023,REG,Southeastern Louisiana,W,86,71
3,Thu Nov 16 2023,REG,Notre Dame,W,83,59
4,Fri Nov 17 2023,REG,St. Bonaventure,W,77,60
5,Tue Nov 21 2023,REG,Alabama A&M,W,84,54
6,Wed Nov 29 2023,REG,Virginia Tech,W,74,57
7,Sun Dec 3 2023,REG,Appalachian State,L,64,69
8,Sat Dec 9 2023,REG,Indiana,W,104,76
9,Wed Dec 13 2023,REG,UNC Asheville,W,87,62
10,Sun Dec 17 2023,REG,Southern California,W,91,75
11,Fri Dec 22 2023,REG,Alabama State,W,82,62
12,Sat Dec 30 2023,REG,Chattanooga,W,101,66
13,Tue Jan 2 2024,REG,Pennsylvania,W,88,68
14,Sat Jan 6 2024,REG,Arkansas,W,83,51
15,Tue Jan 9 2024,REG,Texas A&M,W,66,55
16,Sat Jan 13 2024,REG,Louisiana State,W,93,78
17,Wed Jan 17 2024,REG,Vanderbilt,W,80,65
18,Sat Jan 20 2024,REG,Mississippi (22),W,82,59
19,Wed Jan 24 2024,REG,Alabama,L,75,79
20,Sat Jan 27 2024,REG,Mississippi State,L,58,64
21,Wed Jan 31 2024,REG,Vanderbilt,W,81,54
22,Sat Feb 3 2024,REG,Mississippi,W,91,77
23,Wed Feb 7 2024,REG,Alabama (16),W,99,81
24,Sat Feb 10 2024,REG,Florida,L,65,81
25,Wed Feb 14 2024,REG,South Carolina (11),W,101,61
26,Sat Feb 17 2024,REG,Kentucky (22),L,59,70
27,Sat Feb 24 2024,REG,Georgia,W,97,76
28,Wed Feb 28 2024,REG,Tennessee (4),L,84,92
29,Sat Mar 2 2024,REG,Mississippi State,W,78,63
30,Tue Mar 5 2024,REG,Missouri,W,101,74
31,Sat Mar 9 2024,REG,Georgia,W,92,78
32,Fri Mar 15 2024,CTOURN,South Carolina (15),W,86,55
33,Sat Mar 16 2024,CTOURN,Mississippi State,W,73,66
34,Sun Mar 17 2024,CTOURN,Florida,W,86,67
35,Fri Mar 22 2024,NCAA,Yale,L,76,78
