G,Date,Type,Opponent,W/L,Tm,Opp
1,Tue Nov 7 2023,REG,Auburn,W,88,82
2,Thu Nov 9 2023,REG,John Brown,W,96,70
3,Sun Nov 12 2023,REG,Gardner-Webb,W,77,62
4,Tue Nov 14 2023,REG,Kansas City,W,99,61
5,Wed Nov 22 2023,NIT,Oregon State,W,88,72
6,Fri Nov 24 2023,NIT,Florida,W,95,91
7,Tue Nov 28 2023,REG,Nicholls State,W,108,70
8,Sat Dec 2 2023,REG,Northwestern State,W,91,40
9,Tue Dec 5 2023,REG,Seton Hall,W,78,60
10,Sat Dec 16 2023,REG,Michigan State,L,64,88
11,Wed Dec 20 2023,REG,Duke (21),L,70,78
12,Fri Dec 22 2023,REG,Mississippi Valley State,W,107,48
13,Tue Jan 2 2024,REG,Cornell,W,98,79
14,Sat Jan 6 2024,REG,Oklahoma State,W,75,70
15,Tue Jan 9 2024,REG,Brigham Young (18),W,81,72
16,Sat Jan 13 2024,REG,Cincinnati,W,62,59
17,Tue Jan 16 2024,REG,Kansas State,L,64,68
18,Sat Jan 20 2024,REG,Texas,L,73,75
19,Sat Jan 27 2024,REG,TCU,L,102,105
20,Wed Jan 31 2024,REG,UCF,W,77,69
21,Sat Feb 3 2024,REG,Iowa State (12),W,70,68
22,Tue Feb 6 2024,REG,Texas Tech (23),W,79,73
23,Sat Feb 10 2024,REG,Kansas (4),L,61,64
24,Tue Feb 13 2024,REG,Oklahoma (25),W,79,62
25,Sat Feb 17 2024,REG,West Virginia,W,94,81
26,Tue Feb 20 2024,REG,Brigham Young (25),L,71,78
27,Sat Feb 24 2024,REG,Houston (2),L,76,82
28,Mon Feb 26 2024,REG,TCU,W,62,54
29,Sat Mar 2 2024,REG,Kansas (7),W,82,74
30,Mon Mar 4 2024,REG,Texas,W,93,85
31,Sat Mar 9 2024,REG,Texas Tech,L,68,78
32,Thu Mar 14 2024,CTOURN,Cincinnati,W,68,56
33,Fri Mar 15 2024,CTOURN,Iowa State (7),L,62,76
34,Fri Mar 22 2024,NCAA,Colgate,W,92,67
35,Sun Mar 24 2024,NCAA,Clemson,L,64,72
