G,Date,Type,Opponent,,Tm,Opp
1,Tue Nov 7 2023,REG,Vanguard,W,89,55
2,Sun Nov 12 2023,REG,San Francisco,W,63,58
3,Sun Nov 19 2023,REG,Clemson,L,68,85
4,Thu Nov 23 2023,REG,Virginia Tech,L,75,82
5,Fri Nov 24 2023,REG,Virginia Commonwealth,W,65,61
6,Sun Nov 26 2023,REG,Butler,L,56,70
7,Fri Dec 1 2023,REG,Saint Mary's (CA),W,63,60
8,Tue Dec 5 2023,REG,North Texas,W,69,64
9,Sat Dec 9 2023,REG,Western Oregon,W,109,70
10,Tue Dec 12 2023,REG,Northwestern State,W,95,54
11,Sun Dec 17 2023,REG,Cal State Fullerton,W,88,65
12,Thu Dec 21 2023,REG,Washington State,L,61,66
13,Fri Dec 29 2023,REG,Utah Valley,W,85,63
14,Fri Jan 5 2024,REG,San Jose State,W,78,69
15,Tue Jan 9 2024,REG,Colorado State (17),W,65,58
16,Fri Jan 12 2024,REG,Nevada,W,64,56
17,Tue Jan 16 2024,REG,Nevada-Las Vegas,L,64,68
18,Sat Jan 20 2024,REG,San Diego State,W,67,66
19,Tue Jan 23 2024,REG,Fresno State,W,72,68
20,Sat Jan 27 2024,REG,Utah State (18),L,84,90
21,Wed Jan 31 2024,REG,New Mexico (19),W,86,78
22,Sat Feb 3 2024,REG,Air Force,W,94,56
23,Tue Feb 6 2024,REG,Colorado State,L,62,75
24,Sat Feb 10 2024,REG,Utah State (22),L,61,80
25,Sat Feb 17 2024,REG,Fresno State,W,90,66
26,Tue Feb 20 2024,REG,San Jose State,W,82,50
27,Sat Feb 24 2024,REG,Wyoming,W,92,72
28,Tue Feb 27 2024,REG,Air Force,W,79,48
29,Sat Mar 2 2024,REG,New Mexico,W,89,79
30,Tue Mar 5 2024,REG,Nevada,L,66,76
31,Fri Mar 8 2024,REG,San Diego State (21),W,79,77
32,Thu Mar 14 2024,CTOURN,New Mexico,L,66,76
33,Wed Mar 20 2024,NCAA,Colorado,L,53,60
