G,Date,Type,Opponent,,Tm,Opp
1,Mon Nov 6 2023,REG,Winthrop,W,78,56
2,Fri Nov 10 2023,REG,UAB,W,77,76
3,Sun Nov 12 2023,REG,Davidson,W,68,65
4,Sun Nov 19 2023,REG,Boise State,W,85,68
5,Fri Nov 24 2023,REG,Alcorn State,W,90,69
6,Tue Nov 28 2023,REG,Alabama (23),W,85,77
7,Sun Dec 3 2023,REG,Pittsburgh,W,79,70
8,Wed Dec 6 2023,REG,South Carolina,W,72,67
9,Sat Dec 9 2023,REG,TCU,W,74,66
10,Sat Dec 16 2023,REG,Memphis,L,77,79
11,Fri Dec 22 2023,REG,Queens (NC),W,109,79
12,Fri Dec 29 2023,REG,Radford,W,93,58
13,Wed Jan 3 2024,REG,Miami (FL),L,82,95
14,Sat Jan 6 2024,REG,North Carolina (8),L,55,65
15,Wed Jan 10 2024,REG,Virginia Tech,L,72,87
16,Sat Jan 13 2024,REG,Boston College,W,89,78
17,Tue Jan 16 2024,REG,Georgia Tech,L,90,93
18,Sat Jan 20 2024,REG,Florida State,W,78,67
19,Sat Jan 27 2024,REG,Duke (12),L,71,72
20,Tue Jan 30 2024,REG,Louisville,W,70,64
21,Sat Feb 3 2024,REG,Virginia,L,65,66
22,Tue Feb 6 2024,REG,North Carolina (3),W,80,76
23,Sat Feb 10 2024,REG,Syracuse,W,77,68
24,Wed Feb 14 2024,REG,Miami (FL),W,77,60
25,Sat Feb 17 2024,REG,NC State,L,77,78
26,Wed Feb 21 2024,REG,Georgia Tech,W,81,57
27,Sat Feb 24 2024,REG,Florida State,W,74,63
28,Tue Feb 27 2024,REG,Pittsburgh,W,69,62
29,Sat Mar 2 2024,REG,Notre Dame,L,62,69
30,Tue Mar 5 2024,REG,Syracuse,W,90,75
31,Sat Mar 9 2024,REG,Wake Forest,L,76,81
