G,Date,Type,Opponent,,Tm,Opp
1,Mon Nov 6 2023,REG,Brown,W,72,70
2,Tue Nov 14 2023,REG,Syracuse,L,75,79
3,Fri Nov 17 2023,REG,Yale,L,50,68
4,Sat Nov 18 2023,REG,Gardner-Webb,W,59,52
5,Sun Nov 19 2023,REG,Weber State,W,57,55
6,Wed Nov 22 2023,REG,Harvard,L,70,76
7,Wed Nov 29 2023,REG,Binghamton,W,84,49
8,Sat Dec 2 2023,REG,Arizona (2),L,55,82
9,Wed Dec 6 2023,REG,Vermont State–Lyndon,W,115,37
10,Sat Dec 9 2023,REG,Vermont,W,77,71
11,Sun Dec 17 2023,REG,Illinois (16),L,57,74
12,Thu Dec 21 2023,REG,Iona,L,65,85
13,Sat Dec 30 2023,REG,Cornell,L,64,77
14,Wed Jan 3 2024,REG,Loyola (MD),W,78,55
15,Sat Jan 6 2024,REG,Navy,W,80,72
16,Wed Jan 10 2024,REG,Lafayette,L,64,69
17,Sat Jan 13 2024,REG,Bucknell,W,84,73
18,Wed Jan 17 2024,REG,Army,W,64,56
19,Sat Jan 20 2024,REG,Boston University,W,75,59
20,Mon Jan 22 2024,REG,Lehigh,W,60,57
21,Sat Jan 27 2024,REG,American,W,73,54
22,Wed Jan 31 2024,REG,Army,W,74,55
23,Sat Feb 3 2024,REG,Navy,W,88,64
24,Wed Feb 7 2024,REG,Boston University,W,74,64
25,Sat Feb 10 2024,REG,Loyola (MD),W,76,62
26,Wed Feb 14 2024,REG,Holy Cross,W,85,55
27,Sat Feb 17 2024,REG,Bucknell,W,62,50
28,Mon Feb 19 2024,REG,Lafayette,W,67,62
29,Sun Feb 25 2024,REG,American,L,64,66
30,Wed Feb 28 2024,REG,Holy Cross,W,77,58
31,Sat Mar 2 2024,REG,Lehigh,W,63,60
32,Thu Mar 7 2024,CTOURN,Holy Cross,W,81,64
33,Sun Mar 10 2024,CTOURN,Bucknell,W,68,65
34,Wed Mar 13 2024,CTOURN,Lehigh,W,74,55
35,Fri Mar 22 2024,NCAA,Baylor (14),L,67,92
