G,Date,Type,Opponent,,Tm,Opp
1,Mon Nov 6 2023,REG,Louisiana Tech,W,81,73
2,Fri Nov 10 2023,REG,Wright State,W,105,77
3,Tue Nov 14 2023,REG,Northern Colorado,W,83,64
4,Fri Nov 17 2023,REG,Kansas City,W,84,61
5,Wed Nov 22 2023,REG,Boston College,W,86,74
6,Thu Nov 23 2023,REG,Creighton (8),W,69,48
7,Wed Nov 29 2023,REG,Colorado,W,88,83
8,Sat Dec 2 2023,REG,Washington,W,86,81
9,Wed Dec 6 2023,REG,Denver,W,90,80
10,Sat Dec 9 2023,REG,Saint Mary's (CA),L,61,64
11,Sun Dec 17 2023,REG,Colorado State-Pueblo,W,86,54
12,Fri Dec 22 2023,REG,Loyola Marymount,W,76,67
13,Fri Dec 29 2023,REG,Adams State,W,106,61
14,Tue Jan 2 2024,REG,New Mexico,W,76,68
15,Sat Jan 6 2024,REG,Utah State,L,72,77
16,Tue Jan 9 2024,REG,Boise State,L,58,65
17,Tue Jan 16 2024,REG,Air Force,W,78,69
18,Fri Jan 19 2024,REG,Nevada-Las Vegas,W,78,75
19,Wed Jan 24 2024,REG,Nevada,L,64,77
20,Sat Jan 27 2024,REG,Wyoming,L,76,79
21,Tue Jan 30 2024,REG,San Diego State,W,79,71
22,Sat Feb 3 2024,REG,Fresno State,W,73,61
23,Tue Feb 6 2024,REG,Boise State,W,75,62
24,Fri Feb 9 2024,REG,San Jose State,W,66,47
25,Tue Feb 13 2024,REG,San Diego State,L,55,71
26,Sat Feb 17 2024,REG,Utah State,W,75,55
27,Wed Feb 21 2024,REG,New Mexico,L,66,68
28,Sat Feb 24 2024,REG,Nevada-Las Vegas,L,60,66
29,Tue Feb 27 2024,REG,Nevada,L,74,77
30,Sat Mar 2 2024,REG,Wyoming,W,70,62
31,Sat Mar 9 2024,REG,Air Force,W,82,73
32,Wed Mar 13 2024,CTOURN,San Jose State,W,72,62
33,Thu Mar 14 2024,CTOURN,Nevada (23),W,85,78
34,Sat Mar 16 2024,CTOURN,New Mexico,L,61,74
35,Tue Mar 19 2024,NCAA,Virginia,W,67,42
36,Thu Mar 21 2024,NCAA,Texas,L,44,56
