G,Date,Type,Opponent,,Tm,Opp
1,Mon Nov 6 2023,REG,Towson,W,75,57
2,Fri Nov 10 2023,REG,Grambling,W,95,63
3,Tue Nov 14 2023,REG,Milwaukee,W,106,79
4,Mon Nov 20 2023,REG,Richmond,W,64,59
5,Tue Nov 21 2023,REG,Florida State,L,71,77
6,Sun Nov 26 2023,REG,Iona,W,85,68
7,Wed Nov 29 2023,REG,Colorado State (20),L,83,88
8,Sun Dec 3 2023,REG,Pepperdine,W,91,66
9,Sun Dec 10 2023,REG,Miami (FL) (15),W,90,63
10,Fri Dec 15 2023,REG,Northern Colorado,W,90,68
11,Thu Dec 21 2023,REG,Utah Tech,W,98,71
12,Fri Dec 29 2023,REG,Washington,W,73,69
13,Sun Dec 31 2023,REG,Washington State,W,74,67
14,Thu Jan 4 2024,REG,Arizona (10),L,50,97
15,Sat Jan 6 2024,REG,Arizona State,L,73,76
16,Wed Jan 10 2024,REG,California,L,78,82
17,Sat Jan 13 2024,REG,Southern California,W,68,58
18,Thu Jan 18 2024,REG,Oregon,W,86,70
19,Sat Jan 20 2024,REG,Oregon State,W,90,57
20,Wed Jan 24 2024,REG,Washington,W,98,81
21,Sat Jan 27 2024,REG,Washington State,L,69,78
22,Sat Feb 3 2024,REG,Utah,L,68,73
23,Thu Feb 8 2024,REG,Arizona State,W,82,70
24,Sat Feb 10 2024,REG,Arizona (8),L,79,99
25,Thu Feb 15 2024,REG,UCLA,L,60,64
26,Sat Feb 17 2024,REG,Southern California,W,92,89
27,Sat Feb 24 2024,REG,Utah,W,89,65
28,Wed Feb 28 2024,REG,California,W,88,78
29,Sun Mar 3 2024,REG,Stanford,W,81,71
30,Thu Mar 7 2024,REG,Oregon,W,79,75
31,Sat Mar 9 2024,REG,Oregon State,W,73,57
32,Thu Mar 14 2024,CTOURN,Utah,W,72,58
33,Fri Mar 15 2024,CTOURN,Washington State (22),W,58,52
34,Sat Mar 16 2024,CTOURN,Oregon,L,68,75
35,Wed Mar 20 2024,NCAA,Boise State,W,60,53
36,Fri Mar 22 2024,NCAA,Florida,W,102,100
37,Sun Mar 24 2024,NCAA,Marquette (8),L,77,81
