G,Date,Type,Opponent,,Tm,Opp
1,Tue Nov 7 2023,REG,Florida A&M,W,105,54
2,Sat Nov 11 2023,REG,North Dakota State,W,89,60
3,Tue Nov 14 2023,REG,Iowa,W,92,84
4,Sat Nov 18 2023,REG,Texas Southern,W,82,50
5,Wed Nov 22 2023,REG,Loyola (IL),W,88,65
6,Thu Nov 23 2023,REG,Colorado State,L,48,69
7,Thu Nov 30 2023,REG,Oklahoma State,W,79,65
8,Sun Dec 3 2023,REG,Nebraska,W,89,60
9,Sat Dec 9 2023,REG,Central Michigan,W,109,64
10,Wed Dec 13 2023,REG,Nevada-Las Vegas,L,64,79
11,Sat Dec 16 2023,REG,Alabama,W,85,82
12,Wed Dec 20 2023,REG,Villanova,L,66,68
13,Sat Dec 30 2023,REG,Marquette (10),L,67,72
14,Tue Jan 2 2024,REG,Georgetown,W,77,60
15,Sat Jan 6 2024,REG,Providence (23),W,69,60
16,Tue Jan 9 2024,REG,DePaul,W,84,58
17,Sat Jan 13 2024,REG,St. John's (NY),W,66,65
18,Wed Jan 17 2024,REG,Connecticut (1),L,48,62
19,Sat Jan 20 2024,REG,Seton Hall,W,97,94
20,Tue Jan 23 2024,REG,Xavier,W,85,78
21,Sat Jan 27 2024,REG,DePaul,W,85,62
22,Fri Feb 2 2024,REG,Butler,L,98,99
23,Wed Feb 7 2024,REG,Providence,L,87,91
24,Sat Feb 10 2024,REG,Xavier,W,78,71
25,Tue Feb 13 2024,REG,Georgetown,W,94,72
26,Sat Feb 17 2024,REG,Butler,W,79,57
27,Tue Feb 20 2024,REG,Connecticut (1),W,85,66
28,Sun Feb 25 2024,REG,St. John's (NY),L,66,80
29,Wed Feb 28 2024,REG,Seton Hall,W,85,64
30,Sat Mar 2 2024,REG,Marquette (5),W,89,75
31,Sat Mar 9 2024,REG,Villanova,W,69,67
32,Thu Mar 14 2024,CTOURN,Providence,L,73,78
33,Thu Mar 21 2024,NCAA,Akron,W,77,60
34,Sat Mar 23 2024,NCAA,Oregon,W,86,73
35,Fri Mar 29 2024,NCAA,Tennessee (6),L,75,82
