G,Date,Type,Opponent,W/L,Tm,Opp
1,Mon Nov 6 2023,REG,Southern Illinois-Edwardsville,W,63,47
2,Fri Nov 10 2023,REG,Northwestern,L,66,71
3,Thu Nov 16 2023,REG,Louisiana State,W,70,67
4,Fri Nov 17 2023,REG,St. John's (NY),W,88,81
5,Sun Nov 19 2023,REG,Houston (6),L,55,69
6,Fri Nov 24 2023,REG,Youngstown State,W,77,69
7,Wed Nov 29 2023,REG,Southern Methodist,W,65,63
8,Sat Dec 2 2023,REG,Grambling,W,76,46
9,Wed Dec 6 2023,REG,Nevada-Las Vegas,,,
10,Sat Dec 9 2023,REG,Troy,W,82,70
11,Sat Dec 16 2023,REG,Cincinnati,W,82,68
12,Wed Dec 20 2023,REG,Oakland,W,91,67
13,Sat Dec 30 2023,REG,Longwood,W,78,69
14,Wed Jan 3 2024,REG,Davidson,W,72,59
15,Sun Jan 7 2024,REG,Massachusetts,W,64,60
16,Fri Jan 12 2024,REG,Duquesne,W,72,62
17,Tue Jan 16 2024,REG,Saint Louis,W,70,65
18,Sat Jan 20 2024,REG,Rhode Island,W,96,62
19,Tue Jan 23 2024,REG,La Salle,W,66,54
20,Sat Jan 27 2024,REG,Richmond,L,64,69
21,Tue Jan 30 2024,REG,George Washington,W,83,61
22,Fri Feb 2 2024,REG,St. Bonaventure,W,76,71
23,Tue Feb 6 2024,REG,Saint Joseph's,W,94,79
24,Fri Feb 9 2024,REG,Virginia Commonwealth,L,47,49
25,Tue Feb 13 2024,REG,Duquesne,W,75,59
26,Sat Feb 17 2024,REG,Fordham,W,78,70
27,Wed Feb 21 2024,REG,George Mason,L,67,71
28,Tue Feb 27 2024,REG,Davidson,W,80,66
29,Fri Mar 1 2024,REG,Loyola (IL),L,72,77
30,Tue Mar 5 2024,REG,Saint Louis,W,100,83
31,Fri Mar 8 2024,REG,Virginia Commonwealth,W,91,86
32,Thu Mar 14 2024,CTOURN,Duquesne,L,57,65
33,Thu Mar 21 2024,NCAA,Nevada,W,63,60
34,Sat Mar 23 2024,NCAA,Arizona (9),L,68,78
