G,Date,Type,Opponent,,Tm,Opp
1,Wed Nov 8 2023,REG,Lipscomb,W,85,70
2,Tue Nov 14 2023,REG,Southwest Minnesota State,W,87,67
3,Sun Nov 19 2023,REG,Oakland,W,85,77
4,Mon Nov 20 2023,REG,Stephen F. Austin,L,68,92
5,Tue Nov 21 2023,REG,Akron,W,79,59
6,Sat Nov 25 2023,REG,Texas Southern,W,77,71
7,Wed Nov 29 2023,REG,Valparaiso,W,83,65
8,Sat Dec 2 2023,REG,Missouri State,W,74,57
9,Wed Dec 6 2023,REG,Saint Louis,W,75,69
10,Sat Dec 9 2023,REG,Nevada,W,72,53
11,Thu Dec 14 2023,REG,Grambling,W,68,56
12,Tue Dec 19 2023,REG,Alcorn State,W,92,55
13,Fri Dec 22 2023,REG,UAB,L,78,79
14,Tue Jan 2 2024,REG,Illinois State,W,88,71
15,Sun Jan 7 2024,REG,Belmont,L,65,87
16,Wed Jan 10 2024,REG,Indiana State,W,89,78
17,Sat Jan 13 2024,REG,Southern Illinois,W,76,58
18,Wed Jan 17 2024,REG,Illinois State,W,77,56
19,Sat Jan 20 2024,REG,Evansville,W,97,48
20,Wed Jan 24 2024,REG,Missouri State,L,80,83
21,Sat Jan 27 2024,REG,Northern Iowa,W,77,63
22,Wed Jan 31 2024,REG,Valparaiso,W,81,70
23,Sat Feb 3 2024,REG,Indiana State,L,67,75
24,Wed Feb 7 2024,REG,Southern Illinois,W,92,88
25,Sat Feb 10 2024,REG,Bradley,W,74,67
26,Tue Feb 13 2024,REG,Evansville,W,78,75
27,Sun Feb 18 2024,REG,Murray State,W,95,72
28,Wed Feb 21 2024,REG,Belmont,W,84,69
29,Sat Feb 24 2024,REG,Northern Iowa,L,77,91
30,Wed Feb 28 2024,REG,Illinois-Chicago,W,107,105
31,Sun Mar 3 2024,REG,Bradley,W,74,66
32,Fri Mar 8 2024,CTOURN,Evansville,W,79,58
33,Sat Mar 9 2024,CTOURN,Bradley,W,72,67
34,Sun Mar 10 2024,CTOURN,Indiana State,W,84,80
35,Thu Mar 21 2024,NCAA,Washington State (25),L,61,66
