G,Date,Type,Opponent,,Tm,Opp
1,Mon Nov 6 2023,REG,Dartmouth,W,92,54
2,Fri Nov 10 2023,REG,Arizona (12),L,73,78
3,Tue Nov 14 2023,REG,Michigan State (18),W,74,65
4,Fri Nov 17 2023,REG,Bucknell,W,90,60
5,Tue Nov 21 2023,REG,La Salle,W,95,66
6,Fri Nov 24 2023,REG,Southern Indiana,W,80,62
7,Wed Nov 29 2023,REG,Arkansas,L,75,80
8,Sat Dec 2 2023,REG,Georgia Tech,L,68,72
9,Sat Dec 9 2023,REG,Charlotte,W,80,56
10,Tue Dec 12 2023,REG,Hofstra,W,89,68
11,Wed Dec 20 2023,REG,Baylor (10),W,78,70
12,Sat Dec 30 2023,REG,Queens (NC),W,106,69
13,Tue Jan 2 2024,REG,Syracuse,W,86,66
14,Sat Jan 6 2024,REG,Notre Dame,W,67,59
15,Tue Jan 9 2024,REG,Pittsburgh,W,75,53
16,Sat Jan 13 2024,REG,Georgia Tech,W,84,79
17,Sat Jan 20 2024,REG,Pittsburgh,L,76,80
18,Tue Jan 23 2024,REG,Louisville,W,83,69
19,Sat Jan 27 2024,REG,Clemson,W,72,71
20,Mon Jan 29 2024,REG,Virginia Tech,W,77,67
21,Sat Feb 3 2024,REG,North Carolina (3),L,84,93
22,Wed Feb 7 2024,REG,Notre Dame,W,71,53
23,Sat Feb 10 2024,REG,Boston College,W,80,65
24,Mon Feb 12 2024,REG,Wake Forest,W,77,69
25,Sat Feb 17 2024,REG,Florida State,W,76,67
26,Wed Feb 21 2024,REG,Miami (FL),W,84,55
27,Sat Feb 24 2024,REG,Wake Forest,L,79,83
28,Wed Feb 28 2024,REG,Louisville,W,84,59
29,Sat Mar 2 2024,REG,Virginia,W,73,48
30,Mon Mar 4 2024,REG,NC State,W,79,64
31,Sat Mar 9 2024,REG,North Carolina (7),L,79,84
32,Thu Mar 14 2024,CTOURN,NC State,L,69,74
33,Fri Mar 22 2024,NCAA,Vermont,W,64,47
34,Sun Mar 24 2024,NCAA,James Madison,W,93,55
35,Fri Mar 29 2024,NCAA,Houston (2),W,54,51
36,Sun Mar 31 2024,NCAA,NC State,L,64,76
,,,,,,
,,,,,,
Provided by https://www.sports-reference.com/cbb/schools/duke/men/2024-schedule.html,,,,,,
