G,Date,Type,Opponent,,Tm,Opp
1,Mon Nov 6 2023,REG,Cleveland State,W,79,77
2,Fri Nov 10 2023,REG,College of Charleston,W,90,72
3,Mon Nov 13 2023,REG,Stony Brook,W,85,63
4,Wed Nov 15 2023,REG,Princeton,L,67,70
5,Fri Nov 17 2023,REG,Rider,W,77,58
6,Wed Nov 22 2023,REG,Nebraska,L,79,89
7,Wed Nov 29 2023,REG,UC Irvine,W,66,62
8,Wed Dec 6 2023,REG,Marshall,W,85,72
9,Fri Dec 8 2023,REG,Saint Peter's,W,68,59
10,Mon Dec 18 2023,REG,Bradley,W,69,67
11,Sat Dec 23 2023,REG,Santa Clara,L,73,81
12,Sat Dec 30 2023,REG,Cleary University,W,95,47
13,Wed Jan 3 2024,REG,Massachusetts,L,61,80
14,Sat Jan 6 2024,REG,Loyola (IL),L,67,72
15,Fri Jan 12 2024,REG,Dayton,L,62,72
16,Tue Jan 16 2024,REG,Richmond,L,61,63
17,Sat Jan 20 2024,REG,Saint Joseph's,L,69,71
18,Tue Jan 23 2024,REG,St. Bonaventure,W,54,50
19,Sat Jan 27 2024,REG,Fordham,W,68,59
20,Wed Jan 31 2024,REG,Chicago State,W,65,60
21,Sat Feb 3 2024,REG,Rhode Island,W,85,71
22,Wed Feb 7 2024,REG,Davidson,L,59,72
23,Sat Feb 10 2024,REG,St. Bonaventure,W,75,69
24,Tue Feb 13 2024,REG,Dayton (16),L,59,75
25,Sat Feb 17 2024,REG,Saint Joseph's,W,66,56
26,Tue Feb 20 2024,REG,Saint Louis,W,81,66
27,Fri Feb 23 2024,REG,Fordham,L,67,79
28,Wed Feb 28 2024,REG,La Salle,W,75,63
29,Sat Mar 2 2024,REG,George Mason,W,59,51
30,Tue Mar 5 2024,REG,Virginia Commonwealth,W,69,59
31,Sat Mar 9 2024,REG,George Washington,W,67,65
32,Wed Mar 13 2024,CTOURN,Saint Louis,W,83,73
33,Thu Mar 14 2024,CTOURN,Dayton (24),W,65,57
34,Sat Mar 16 2024,CTOURN,St. Bonaventure,W,70,60
35,Sun Mar 17 2024,CTOURN,Virginia Commonwealth,W,57,51
36,Thu Mar 21 2024,NCAA,Brigham Young (21),W,71,67
37,Sat Mar 23 2024,NCAA,Illinois (10),L,63,89
