G,Date,Type,Opponent,W/L,Tm,Opp
1,Wed Nov 8 2023,REG,Loyola (IL),W,75,62
2,Tue Nov 14 2023,REG,Eastern Michigan,W,100,57
3,Sat Nov 18 2023,REG,Bryant,L,52,61
4,Thu Nov 23 2023,REG,Butler,W,91,86
5,Fri Nov 24 2023,REG,Texas A&M (12),W,96,89
6,Sun Nov 26 2023,REG,Virginia Tech,W,84,50
7,Thu Nov 30 2023,REG,Liberty,W,83,58
8,Sat Dec 2 2023,REG,College of Charleston,W,90,74
9,Tue Dec 5 2023,REG,Illinois (20),L,89,98
10,Wed Dec 13 2023,REG,Florida International,W,94,60
11,Sat Dec 16 2023,REG,St. Bonaventure,W,64,54
12,Sat Dec 23 2023,REG,Arizona (4),W,96,95
13,Sat Dec 30 2023,REG,Florida Gulf Coast,L,68,72
14,Tue Jan 2 2024,REG,East Carolina,W,79,64
15,Sat Jan 6 2024,REG,Charlotte,L,68,70
16,Thu Jan 11 2024,REG,Tulane,W,85,84
17,Sun Jan 14 2024,REG,UAB,W,86,73
18,Thu Jan 18 2024,REG,Wichita State,W,86,77
19,Sun Jan 21 2024,REG,UTSA,W,112,103
20,Wed Jan 24 2024,REG,Rice,W,69,56
21,Sun Jan 28 2024,REG,North Texas,W,66,63
22,Sat Feb 3 2024,REG,Tulsa,W,102,70
23,Thu Feb 8 2024,REG,UAB,L,73,76
24,Sun Feb 11 2024,REG,Wichita State,W,95,82
25,Thu Feb 15 2024,REG,Temple,W,80,68
26,Sun Feb 18 2024,REG,South Florida,L,86,90
27,Thu Feb 22 2024,REG,Southern Methodist,W,80,70
28,Sun Feb 25 2024,REG,Memphis,L,74,78
29,Sat Mar 2 2024,REG,Tulane,W,79,73
30,Wed Mar 6 2024,REG,North Texas,W,80,76
31,Sat Mar 9 2024,REG,Memphis,W,92,84
32,Fri Mar 15 2024,CTOURN,North Texas,W,77,71
33,Sat Mar 16 2024,CTOURN,Temple,L,73,74
34,Fri Mar 22 2024,NCAA,Northwestern,L,65,77
