G,Date,Type,Opponent,W/L,Tm,Opp
1,Mon Nov 6 2023,REG,Loyola (MD),W,93,73
2,Fri Nov 10 2023,REG,Virginia,L,70,73
3,Tue Nov 14 2023,REG,Florida A&M,W,89,68
4,Fri Nov 17 2023,REG,Florida State,W,89,68
5,Wed Nov 22 2023,NIT,Pittsburgh,W,86,71
6,Fri Nov 24 2023,NIT,Baylor (13),L,91,95
7,Wed Nov 29 2023,REG,Wake Forest,L,71,82
8,Tue Dec 5 2023,REG,Merrimack,W,77,57
9,Sat Dec 9 2023,REG,Richmond,W,87,76
10,Thu Dec 14 2023,REG,East Carolina,W,70,65
11,Tue Dec 19 2023,REG,Michigan,W,106,101
12,Fri Dec 22 2023,REG,Grambling,W,96,57
13,Sat Dec 30 2023,REG,Quinnipiac,W,97,72
14,Sat Jan 6 2024,REG,Kentucky (6),L,85,87
15,Wed Jan 10 2024,REG,Mississippi,L,85,103
16,Sat Jan 13 2024,REG,Arkansas,W,90,68
17,Tue Jan 16 2024,REG,Tennessee (6),L,66,85
18,Sat Jan 20 2024,REG,Missouri,W,79,67
19,Wed Jan 24 2024,REG,Mississippi State,W,79,70
20,Sat Jan 27 2024,REG,Georgia,W,102,98
21,Wed Jan 31 2024,REG,Kentucky (10),W,94,91
22,Sat Feb 3 2024,REG,Texas A&M,L,66,67
23,Sat Feb 10 2024,REG,Auburn (12),W,81,65
24,Tue Feb 13 2024,REG,Louisiana State,W,82,80
25,Sat Feb 17 2024,REG,Georgia,W,88,82
26,Wed Feb 21 2024,REG,Alabama (13),L,93,98
27,Sat Feb 24 2024,REG,Vanderbilt,W,77,64
28,Wed Feb 28 2024,REG,Missouri,W,83,74
29,Sat Mar 2 2024,REG,South Carolina (18),L,76,82
30,Tue Mar 5 2024,REG,Alabama (16),W,105,87
31,Sat Mar 9 2024,REG,Vanderbilt,L,78,79
32,Thu Mar 14 2024,CTOURN,Georgia,W,85,80
33,Fri Mar 15 2024,CTOURN,Alabama (19),W,102,88
34,Sat Mar 16 2024,CTOURN,Texas A&M,W,95,90
35,Sun Mar 17 2024,CTOURN,Auburn (12),L,67,86
36,Fri Mar 22 2024,NCAA,Colorado,L,100,102
