G,Date,Type,Opponent,,Tm,Opp
1,Fri Nov 10 2023,REG,Yale,W,86,71
2,Tue Nov 14 2023,REG,Eastern Oregon,W,123,57
3,Mon Nov 20 2023,REG,Purdue (2),L,63,73
4,Tue Nov 21 2023,REG,Syracuse,W,76,57
5,Thu Nov 23 2023,REG,UCLA,W,69,65
6,Tue Nov 28 2023,REG,Cal State Bakersfield,W,81,65
7,Sat Dec 2 2023,REG,Southern California,W,89,76
8,Tue Dec 5 2023,REG,Arkansas-Pine Bluff,W,111,71
9,Sat Dec 9 2023,REG,Washington,L,73,78
10,Mon Dec 11 2023,REG,Mississippi Valley State,W,78,40
11,Fri Dec 15 2023,REG,Connecticut (5),L,63,76
12,Wed Dec 20 2023,REG,Jackson State,W,100,76
13,Fri Dec 29 2023,REG,San Diego State,L,74,84
14,Thu Jan 4 2024,REG,Pepperdine,W,86,60
15,Sat Jan 6 2024,REG,San Diego,W,101,74
16,Thu Jan 11 2024,REG,Santa Clara,L,76,77
17,Thu Jan 18 2024,REG,Pepperdine,W,86,61
18,Sat Jan 20 2024,REG,San Diego,W,105,63
19,Thu Jan 25 2024,REG,San Francisco,W,77,72
20,Sat Jan 27 2024,REG,Pacific,W,82,73
21,Tue Jan 30 2024,REG,Loyola Marymount,W,92,58
22,Sat Feb 3 2024,REG,Saint Mary's (CA),L,62,64
23,Wed Feb 7 2024,REG,Portland,W,96,64
24,Sat Feb 10 2024,REG,Kentucky (17),W,89,85
25,Thu Feb 15 2024,REG,Loyola Marymount,W,91,74
26,Sat Feb 17 2024,REG,Pacific,W,102,76
27,Thu Feb 22 2024,REG,Portland,W,86,65
28,Sat Feb 24 2024,REG,Santa Clara,W,94,81
29,Thu Feb 29 2024,REG,San Francisco,W,86,68
30,Sat Mar 2 2024,REG,Saint Mary's (CA) (17),W,70,57
31,Mon Mar 11 2024,CTOURN,San Francisco,W,89,77
32,Tue Mar 12 2024,CTOURN,Saint Mary's (CA) (21),L,60,69
33,Thu Mar 21 2024,NCAA,McNeese State,W,86,65
34,Sat Mar 23 2024,NCAA,Kansas (17),W,89,68
35,Fri Mar 29 2024,NCAA,Purdue (3),L,68,80
