G,Date,Type,Opponent,,Tm,Opp
1,Mon Nov 6 2023,REG,North Texas at Dallas,W,82,67
2,Fri Nov 10 2023,REG,Colorado,L,63,95
3,Tue Nov 14 2023,REG,Champion Christian,W,113,73
4,Fri Nov 17 2023,REG,Delaware State,L,63,71
5,Sun Nov 19 2023,REG,Iowa State,L,37,92
6,Wed Nov 22 2023,REG,Sam Houston,L,68,86
7,Fri Nov 24 2023,REG,Troy,L,67,80
8,Sat Dec 2 2023,REG,Dayton,L,46,76
9,Sun Dec 10 2023,REG,Washington State,L,65,83
10,Thu Dec 14 2023,REG,Drake,L,56,68
11,Wed Dec 20 2023,REG,Southeastern Louisiana,L,47,48
12,Fri Dec 22 2023,REG,Florida,L,57,96
13,Tue Jan 2 2024,REG,College of Biblical Studies,W,84,72
14,Sat Jan 6 2024,REG,Prairie View,W,69,63
15,Mon Jan 8 2024,REG,Texas Southern,L,52,54
16,Sat Jan 13 2024,REG,Bethune-Cookman,W,79,69
17,Mon Jan 15 2024,REG,Florida A&M,W,65,52
18,Sat Jan 20 2024,REG,Southern,W,79,62
19,Sat Jan 27 2024,REG,Mississippi Valley State,W,54,46
20,Mon Jan 29 2024,REG,Arkansas-Pine Bluff,L,70,86
21,Sat Feb 3 2024,REG,Jackson State,W,70,62
22,Mon Feb 5 2024,REG,Alcorn State,W,78,67
23,Sat Feb 10 2024,REG,Alabama State,W,74,68
24,Mon Feb 12 2024,REG,Alabama A&M,L,50,60
25,Sat Feb 17 2024,REG,Texas Southern,W,66,63
26,Mon Feb 19 2024,REG,Prairie View,W,83,74
27,Sat Feb 24 2024,REG,Southern,W,63,57
28,Sat Mar 2 2024,REG,Florida A&M,W,75,68
29,Mon Mar 4 2024,REG,Bethune-Cookman,W,69,60
30,Thu Mar 7 2024,REG,Alabama State,,,
31,Thu Mar 7 2024,REG,Alabama A&M,W,74,73
32,Sat Mar 9 2024,REG,Alabama State,L,84,87
33,Wed Mar 13 2024,CTOURN,Alabama State,W,56,50
34,Fri Mar 15 2024,CTOURN,Bethune-Cookman,W,65,53
35,Sat Mar 16 2024,CTOURN,Texas Southern,W,75,66
36,Wed Mar 20 2024,NCAA,Montana State,W,88,81
37,Fri Mar 22 2024,NCAA,Purdue (3),L,50,78
