G,Date,Type,Opponent,,Tm,Opp
1,Mon Nov 6 2023,REG,Southeast Missouri State,W,88,67
2,Sun Nov 12 2023,REG,Northern Arizona,W,89,55
3,Fri Nov 17 2023,REG,San Francisco,W,76,72
4,Sun Nov 19 2023,REG,South Carolina,L,68,75
5,Sat Nov 25 2023,REG,North Dakota State,W,86,71
6,Wed Nov 29 2023,REG,Texas-Rio Grande Valley,W,79,69
7,Sat Dec 2 2023,REG,UT Arlington,W,76,69
8,Tue Dec 5 2023,REG,San Diego State (25),W,79,73
9,Sat Dec 9 2023,REG,Liberty,W,69,64
10,Sat Dec 16 2023,REG,Portland,W,91,63
11,Wed Dec 20 2023,REG,Sam Houston,W,76,64
12,Wed Dec 27 2023,REG,Bethesda University (CA),W,124,74
13,Sat Dec 30 2023,REG,Louisiana Tech,W,73,70
14,Thu Jan 4 2024,REG,Southern Utah,W,96,75
15,Sat Jan 6 2024,REG,Utah Tech,W,75,65
16,Thu Jan 11 2024,REG,Abilene Christian,W,74,64
17,Sat Jan 13 2024,REG,Tarleton State,W,74,48
18,Thu Jan 18 2024,REG,Utah Valley,W,78,65
19,Sat Jan 20 2024,REG,Seattle,L,79,86
20,Thu Jan 25 2024,REG,Stephen F. Austin,W,53,51
21,Sat Jan 27 2024,REG,UT Arlington,W,67,61
22,Thu Feb 1 2024,REG,Seattle,W,95,88
23,Sat Feb 3 2024,REG,Utah Valley,W,86,67
24,Sat Feb 10 2024,REG,Southern Utah,W,94,65
25,Thu Feb 15 2024,REG,Utah Tech,W,73,61
26,Sat Feb 17 2024,REG,California Baptist,W,79,76
27,Thu Feb 22 2024,REG,Tarleton State,L,74,77
28,Sat Feb 24 2024,REG,Abilene Christian,L,73,79
29,Thu Feb 29 2024,REG,Texas-Rio Grande Valley,W,72,43
30,Sat Mar 2 2024,REG,Stephen F. Austin,W,80,58
31,Sat Mar 9 2024,REG,California Baptist,W,68,47
32,Fri Mar 15 2024,CTOURN,Seattle,W,80,72
33,Sat Mar 16 2024,CTOURN,UT Arlington,W,89,74
34,Fri Mar 22 2024,NCAA,Saint Mary's (CA) (15),W,75,66
35,Sun Mar 24 2024,NCAA,Alabama (19),L,61,72
