G,Date,Type,Opponent,W/L,Tm,Opp
1,Mon Nov 6 2023,REG,Louisiana-Monroe,W,84,31
2,Sat Nov 11 2023,REG,Texas A&M-Corpus Christi,W,82,50
3,Mon Nov 13 2023,REG,Stetson,W,79,48
4,Thu Nov 16 2023,REG,Towson,W,65,49
5,Fri Nov 17 2023,REG,Utah,W,76,66
6,Sun Nov 19 2023,REG,Dayton,W,69,55
7,Fri Nov 24 2023,REG,Montana,W,79,44
8,Fri Dec 1 2023,REG,Xavier,W,66,60
9,Wed Dec 6 2023,REG,Rice,W,75,39
10,Sat Dec 9 2023,REG,Jackson State,W,89,55
11,Sat Dec 16 2023,REG,Texas A&M,W,70,66
12,Thu Dec 21 2023,REG,Texas State,W,72,37
13,Sat Dec 30 2023,REG,Pennsylvania,W,81,42
14,Sat Jan 6 2024,REG,West Virginia,W,89,55
15,Tue Jan 9 2024,REG,Iowa State,L,53,57
16,Sat Jan 13 2024,REG,TCU,L,67,68
17,Wed Jan 17 2024,REG,Texas Tech (25),W,77,54
18,Sat Jan 20 2024,REG,UCF,W,57,42
19,Tue Jan 23 2024,REG,Brigham Young (21),W,75,68
20,Sat Jan 27 2024,REG,Kansas State,W,74,52
21,Mon Jan 29 2024,REG,Texas,W,76,72
22,Sat Feb 3 2024,REG,Kansas (8),L,65,78
23,Tue Feb 6 2024,REG,Oklahoma State,W,79,63
24,Sat Feb 10 2024,REG,Cincinnati,W,67,62
25,Sat Feb 17 2024,REG,Texas,W,82,61
26,Mon Feb 19 2024,REG,Iowa State (6),W,73,65
27,Sat Feb 24 2024,REG,Baylor (11),W,82,76
28,Tue Feb 27 2024,REG,Cincinnati,W,67,59
29,Sat Mar 2 2024,REG,Oklahoma,W,87,85
30,Wed Mar 6 2024,REG,UCF,W,67,59
31,Sat Mar 9 2024,REG,Kansas (14),W,76,46
32,Thu Mar 14 2024,CTOURN,TCU,W,60,45
33,Fri Mar 15 2024,CTOURN,Texas Tech (25),W,82,59
34,Sat Mar 16 2024,CTOURN,Iowa State (7),L,41,69
35,Fri Mar 22 2024,NCAA,Longwood,W,86,46
36,Sun Mar 24 2024,NCAA,Texas A&M,W,100,95
37,Fri Mar 29 2024,NCAA,Duke (13),L,51,54
