G,Date,Type,Opponent,,Tm,Opp
1,Mon Nov 6 2023,REG,Hampton,W,92,80
2,Thu Nov 9 2023,REG,Georgia Tech,L,85,88
3,Sun Nov 12 2023,REG,James Madison,L,86,107
4,Tue Nov 14 2023,REG,Boston University,W,64,53
5,Sat Nov 18 2023,REG,Rutgers,L,63,85
6,Mon Nov 20 2023,REG,Bryant,L,61,67
7,Sat Nov 25 2023,REG,Mount St. Mary's,W,87,83
8,Tue Nov 28 2023,REG,Cincinnati,L,81,86
9,Mon Dec 11 2023,REG,Pennsylvania,L,68,78
10,Wed Dec 13 2023,REG,Regent,W,88,49
11,Sun Dec 17 2023,REG,Jackson State,L,74,81
12,Sun Dec 17 2023,REG,Texas Southern,L,78,79
13,Wed Dec 20 2023,REG,UC Santa Barbara,L,81,94
14,Sat Dec 30 2023,REG,La Salle,W,71,66
15,Wed Jan 3 2024,REG,Yale,L,78,86
16,Sat Jan 6 2024,REG,North Carolina Central,L,54,73
17,Mon Jan 8 2024,REG,South Carolina State,W,82,78
18,Sat Jan 13 2024,REG,Maryland-Eastern Shore,W,72,61
19,Mon Jan 15 2024,REG,Morehouse,W,78,72
20,Sat Jan 20 2024,REG,Norfolk State,L,61,65
21,Sat Jan 27 2024,REG,Morgan State,L,79,85
22,Mon Jan 29 2024,REG,Coppin State,W,81,66
23,Sat Feb 3 2024,REG,Hampton,L,61,63
24,Mon Feb 5 2024,REG,Delaware State,W,75,71
25,Sat Feb 17 2024,REG,North Carolina Central,W,90,82
26,Mon Feb 19 2024,REG,South Carolina State,L,68,75
27,Sat Feb 24 2024,REG,Morgan State,W,78,72
28,Mon Feb 26 2024,REG,Coppin State,W,78,69
29,Sat Mar 2 2024,REG,Maryland-Eastern Shore,W,70,66
30,Mon Mar 4 2024,REG,Delaware State,W,85,66
31,Thu Mar 7 2024,REG,Norfolk State,L,58,77
32,Thu Mar 14 2024,CTOURN,Morgan State,W,78,65
33,Fri Mar 15 2024,CTOURN,Norfolk State,W,80,74
34,Sat Mar 16 2024,CTOURN,Delaware State,W,70,67
35,Tue Mar 19 2024,NCAA,Wagner,L,68,71
