G,Date,Type,Opponent,,Tm,Opp
1,Mon Nov 6 2023,REG,Eastern Illinois,W,80,52
2,Fri Nov 10 2023,REG,Oakland,W,64,53
3,Tue Nov 14 2023,REG,Marquette (4),L,64,71
4,Fri Nov 17 2023,REG,Valparaiso,W,87,64
5,Sun Nov 19 2023,REG,Southern,W,88,60
6,Fri Nov 24 2023,REG,Western Illinois,W,84,52
7,Sat Dec 2 2023,REG,Rutgers,W,76,58
8,Tue Dec 5 2023,REG,Florida Atlantic (11),W,98,89
9,Sat Dec 9 2023,REG,Tennessee (17),L,79,86
10,Sun Dec 17 2023,REG,Colgate,W,74,57
11,Fri Dec 22 2023,REG,Missouri,W,97,73
12,Fri Dec 29 2023,REG,FDU,W,104,71
13,Tue Jan 2 2024,REG,Northwestern,W,96,66
14,Fri Jan 5 2024,REG,Purdue (1),L,78,83
15,Thu Jan 11 2024,REG,Michigan State,W,71,68
16,Sun Jan 14 2024,REG,Maryland,L,67,76
17,Thu Jan 18 2024,REG,Michigan,W,88,73
18,Sun Jan 21 2024,REG,Rutgers,W,86,63
19,Wed Jan 24 2024,REG,Northwestern,L,91,96
20,Sat Jan 27 2024,REG,Indiana,W,70,62
21,Tue Jan 30 2024,REG,Ohio State,W,87,75
22,Sun Feb 4 2024,REG,Nebraska,W,87,84
23,Sat Feb 10 2024,REG,Michigan State,L,80,88
24,Tue Feb 13 2024,REG,Michigan,W,97,68
25,Sat Feb 17 2024,REG,Maryland,W,85,80
26,Wed Feb 21 2024,REG,Penn State,L,89,90
27,Sat Feb 24 2024,REG,Iowa,W,95,85
28,Wed Feb 28 2024,REG,Minnesota,W,105,97
29,Sat Mar 2 2024,REG,Wisconsin,W,91,83
30,Tue Mar 5 2024,REG,Purdue (3),L,71,77
31,Sun Mar 10 2024,REG,Iowa,W,73,61
32,Fri Mar 15 2024,CTOURN,Ohio State,W,77,74
33,Sat Mar 16 2024,CTOURN,Nebraska,W,98,87
34,Sun Mar 17 2024,CTOURN,Wisconsin,W,93,87
35,Thu Mar 21 2024,NCAA,Morehead State,W,85,69
36,Sat Mar 23 2024,NCAA,Duquesne,W,89,63
37,Thu Mar 28 2024,NCAA,Iowa State (4),W,72,69
38,Sat Mar 30 2024,NCAA,Connecticut (1),L,52,77
