G,Date,Type,Opponent,W/L,Tm,Opp
1,Mon Nov 6 2023,REG,Green Bay,W,85,44
2,Thu Nov 9 2023,REG,Lindenwood,W,102,47
3,Sun Nov 12 2023,REG,Idaho State,W,86,55
4,Sun Nov 19 2023,REG,Grambling,W,92,37
5,Thu Nov 23 2023,REG,Virginia Commonwealth,W,68,64
6,Fri Nov 24 2023,REG,Virginia Tech,L,62,71
7,Sun Nov 26 2023,REG,Texas A&M (12),L,69,73
8,Fri Dec 1 2023,REG,DePaul,W,99,80
9,Thu Dec 7 2023,REG,Iowa,W,90,65
10,Sun Dec 10 2023,REG,Prairie View,W,107,56
11,Sun Dec 17 2023,REG,Florida A&M,W,96,58
12,Thu Dec 21 2023,REG,Eastern Illinois,W,80,48
13,Sun Dec 31 2023,REG,New Hampshire,W,85,70
14,Sat Jan 6 2024,REG,Oklahoma (11),L,63,71
15,Tue Jan 9 2024,REG,Houston (2),W,57,53
16,Sat Jan 13 2024,REG,Oklahoma State,W,66,42
17,Tue Jan 16 2024,REG,Brigham Young (20),L,72,87
18,Sat Jan 20 2024,REG,TCU (19),W,73,72
19,Wed Jan 24 2024,REG,Kansas State,W,78,67
20,Sat Jan 27 2024,REG,Kansas (7),W,79,75
21,Sat Feb 3 2024,REG,Baylor (18),L,68,70
22,Tue Feb 6 2024,REG,Texas,W,70,65
23,Sat Feb 10 2024,REG,TCU,W,71,59
24,Tue Feb 13 2024,REG,Cincinnati,W,68,59
25,Sat Feb 17 2024,REG,Texas Tech,W,82,74
26,Mon Feb 19 2024,REG,Houston (2),L,65,73
27,Sat Feb 24 2024,REG,West Virginia,W,71,64
28,Wed Feb 28 2024,REG,Oklahoma,W,58,45
29,Sat Mar 2 2024,REG,UCF,W,60,52
30,Wed Mar 6 2024,REG,Brigham Young (20),W,68,63
31,Sat Mar 9 2024,REG,Kansas State,L,58,65
32,Thu Mar 14 2024,CTOURN,Kansas State,W,76,57
33,Fri Mar 15 2024,CTOURN,Baylor (14),W,76,62
34,Sat Mar 16 2024,CTOURN,Houston (1),W,69,41
35,Thu Mar 21 2024,NCAA,South Dakota State,W,82,65
36,Sat Mar 23 2024,NCAA,Washington State (25),W,67,56
37,Thu Mar 28 2024,NCAA,Illinois (10),L,69,72
