G,Date,Type,Opponent,,Tm,Opp
1,Mon Nov 6 2023,REG,Michigan State (4),W,79,76
2,Thu Nov 9 2023,REG,Kent State,W,113,108
3,Sun Nov 12 2023,REG,Howard,W,107,86
4,Fri Nov 17 2023,REG,Radford,W,76,73
5,Tue Nov 21 2023,REG,Southern Illinois,W,82,76
6,Wed Nov 22 2023,REG,Fresno State,W,95,64
7,Wed Nov 29 2023,REG,Buffalo,W,81,66
8,Sun Dec 3 2023,REG,Keystone,W,130,59
9,Sat Dec 9 2023,REG,Old Dominion,W,84,69
10,Sat Dec 16 2023,REG,Hampton,W,88,71
11,Tue Dec 19 2023,REG,Coppin State,W,87,48
12,Fri Dec 22 2023,REG,Morgan State,W,89,75
13,Sat Dec 30 2023,REG,Texas State,W,82,65
14,Thu Jan 4 2024,REG,Louisiana,W,68,61
15,Sat Jan 6 2024,REG,Southern Mississippi,L,71,81
16,Thu Jan 11 2024,REG,South Alabama,W,89,55
17,Sat Jan 13 2024,REG,Appalachian State,L,55,59
18,Thu Jan 18 2024,REG,Louisiana-Monroe,W,89,70
19,Sat Jan 20 2024,REG,Marshall,W,67,52
20,Wed Jan 24 2024,REG,Old Dominion,W,78,62
21,Sat Jan 27 2024,REG,Appalachian State,L,76,82
22,Thu Feb 1 2024,REG,Coastal Carolina,W,105,67
23,Sat Feb 3 2024,REG,Old Dominion,W,78,63
24,Wed Feb 7 2024,REG,Arkansas State,W,77,73
25,Sat Feb 10 2024,REG,Akron,W,73,59
26,Thu Feb 15 2024,REG,Georgia State,W,83,63
27,Sat Feb 17 2024,REG,Georgia Southern,W,87,80
28,Wed Feb 21 2024,REG,Marshall,W,84,58
29,Sat Feb 24 2024,REG,Georgia Southern,W,80,74
30,Wed Feb 28 2024,REG,Georgia State,W,84,78
31,Fri Mar 1 2024,REG,Coastal Carolina,W,86,76
32,Sat Mar 9 2024,CTOURN,Marshall,W,81,64
33,Sun Mar 10 2024,CTOURN,Texas State,W,73,68
34,Mon Mar 11 2024,CTOURN,Arkansas State,W,91,71
35,Fri Mar 22 2024,NCAA,Wisconsin (23),W,72,61
36,Sun Mar 24 2024,NCAA,Duke (13),L,55,93
