G,Date,Type,Opponent,,Tm,Opp
1,Mon Nov 6 2023,REG,North Carolina Central,W,99,56
2,Fri Nov 10 2023,REG,Manhattan,W,99,61
3,Tue Nov 14 2023,REG,Kentucky (17),W,89,84
4,Mon Nov 20 2023,REG,Chaminade,W,83,56
5,Tue Nov 21 2023,REG,Marquette (4),L,59,73
6,Wed Nov 22 2023,REG,Tennessee (7),W,69,60
7,Tue Nov 28 2023,REG,Eastern Illinois,W,71,63
8,Fri Dec 1 2023,REG,Connecticut (4),W,69,65
9,Tue Dec 5 2023,REG,Kansas City,W,88,69
10,Sat Dec 9 2023,REG,Missouri,W,73,64
11,Sat Dec 16 2023,REG,Indiana,W,75,71
12,Fri Dec 22 2023,REG,Yale,W,75,60
13,Sat Dec 30 2023,REG,Wichita State,W,86,67
14,Sat Jan 6 2024,REG,TCU,W,83,81
15,Wed Jan 10 2024,REG,UCF,L,60,65
16,Sat Jan 13 2024,REG,Oklahoma (9),W,78,66
17,Tue Jan 16 2024,REG,Oklahoma State,W,90,66
18,Sat Jan 20 2024,REG,West Virginia,L,85,91
19,Mon Jan 22 2024,REG,Cincinnati,W,74,69
20,Sat Jan 27 2024,REG,Iowa State (23),L,75,79
21,Tue Jan 30 2024,REG,Oklahoma State,W,83,54
22,Sat Feb 3 2024,REG,Houston (4),W,78,65
23,Mon Feb 5 2024,REG,Kansas State,L,70,75
24,Sat Feb 10 2024,REG,Baylor (13),W,64,61
25,Mon Feb 12 2024,REG,Texas Tech,L,50,79
26,Sat Feb 17 2024,REG,Oklahoma (25),W,67,57
27,Sat Feb 24 2024,REG,Texas,W,86,67
28,Tue Feb 27 2024,REG,Brigham Young,L,68,76
29,Sat Mar 2 2024,REG,Baylor (15),L,74,82
30,Tue Mar 5 2024,REG,Kansas State,W,90,68
31,Sat Mar 9 2024,REG,Houston (1),L,46,76
32,Wed Mar 13 2024,CTOURN,Cincinnati,L,52,72
33,Thu Mar 21 2024,NCAA,Samford,W,93,89
34,Sat Mar 23 2024,NCAA,Gonzaga (18),L,68,89
