G,Date,Type,Opponent,,Tm,Opp
1,Mon Nov 6 2023,REG,New Mexico State,W,86,46
2,Fri Nov 10 2023,REG,East Texas A&M,W,81,61
3,Tue Nov 14 2023,REG,Kansas (1),L,84,89
4,Fri Nov 17 2023,REG,Stonehill,W,101,67
5,Mon Nov 20 2023,REG,Saint Joseph's,W,96,88
6,Fri Nov 24 2023,REG,Marshall,W,118,82
7,Tue Nov 28 2023,REG,Miami (FL) (8),W,95,73
8,Sat Dec 2 2023,REG,UNC Wilmington,L,73,80
9,Sat Dec 9 2023,REG,Pennsylvania,W,81,66
10,Sat Dec 16 2023,REG,North Carolina (9),W,87,83
11,Thu Dec 21 2023,REG,Louisville,W,95,76
12,Fri Dec 29 2023,REG,Illinois State,W,96,70
13,Sat Jan 6 2024,REG,Florida,W,87,85
14,Tue Jan 9 2024,REG,Missouri,W,90,77
15,Sat Jan 13 2024,REG,Texas A&M,L,92,97
16,Wed Jan 17 2024,REG,Mississippi State,W,90,77
17,Sat Jan 20 2024,REG,Georgia,W,105,96
18,Tue Jan 23 2024,REG,South Carolina,L,62,79
19,Sat Jan 27 2024,REG,Arkansas,W,63,57
20,Wed Jan 31 2024,REG,Florida,L,91,94
21,Sat Feb 3 2024,REG,Tennessee (5),L,92,103
22,Tue Feb 6 2024,REG,Vanderbilt,W,109,77
23,Sat Feb 10 2024,REG,Gonzaga,L,85,89
24,Tue Feb 13 2024,REG,Mississippi,W,75,63
25,Sat Feb 17 2024,REG,Auburn (13),W,70,59
26,Wed Feb 21 2024,REG,Louisiana State,L,74,75
27,Sat Feb 24 2024,REG,Alabama (13),W,117,95
28,Tue Feb 27 2024,REG,Mississippi State,W,91,89
29,Sat Mar 2 2024,REG,Arkansas,W,111,102
30,Wed Mar 6 2024,REG,Vanderbilt,W,93,77
31,Sat Mar 9 2024,REG,Tennessee (4),W,85,81
32,Fri Mar 15 2024,CTOURN,Texas A&M,L,87,97
33,Thu Mar 21 2024,NCAA,Oakland,L,76,80
