G,Date,Type,Opponent,,Tm,Opp
1,Mon Nov 6 2023,REG,Portland,L,73,78
2,Sat Nov 11 2023,REG,DePaul,W,77,73
3,Tue Nov 14 2023,REG,San Diego State,L,76,88
4,Fri Nov 17 2023,REG,Michigan,W,94,86
5,Mon Nov 20 2023,REG,Illinois State,L,52,61
6,Tue Nov 21 2023,REG,Iona,W,80,76
7,Wed Nov 22 2023,REG,Louisiana,L,82,92
8,Sun Nov 26 2023,REG,Montana State,W,75,69
9,Sat Dec 2 2023,REG,Sacramento State,W,83,73
10,Wed Dec 6 2023,REG,Life Pacific,W,88,66
11,Sun Dec 10 2023,REG,Southern California,W,84,79
12,Tue Dec 19 2023,REG,Cal State Dominguez Hills,W,107,78
13,Thu Dec 28 2023,REG,Cal State Fullerton,W,81,71
14,Sat Dec 30 2023,REG,Cal State Northridge,L,68,84
15,Thu Jan 4 2024,REG,Cal Poly,W,89,82
16,Sat Jan 6 2024,REG,UC Riverside,W,83,75
17,Thu Jan 11 2024,REG,UC San Diego,L,74,88
18,Sat Jan 13 2024,REG,UC Santa Barbara,L,76,85
19,Thu Jan 18 2024,REG,Hawaii,W,79,71
20,Thu Jan 25 2024,REG,UC Irvine,L,61,72
21,Sat Jan 27 2024,REG,UC Riverside,W,65,53
22,Thu Feb 1 2024,REG,Cal State Bakersfield,L,76,82
23,Sat Feb 3 2024,REG,UC San Diego,W,85,76
24,Sat Feb 10 2024,REG,Cal Poly,W,77,68
25,Thu Feb 15 2024,REG,UC Davis,W,78,74
26,Sat Feb 17 2024,REG,Cal State Northridge,W,87,73
27,Thu Feb 22 2024,REG,Cal State Bakersfield,W,79,66
28,Sun Feb 25 2024,REG,Hawaii,L,65,73
29,Thu Feb 29 2024,REG,Cal State Fullerton,L,71,76
30,Sat Mar 2 2024,REG,UC Irvine,L,61,82
31,Thu Mar 7 2024,REG,UC Santa Barbara,L,74,76
32,Sat Mar 9 2024,REG,UC Davis,L,78,88
33,Thu Mar 14 2024,CTOURN,UC Riverside,W,86,67
34,Fri Mar 15 2024,CTOURN,UC Irvine,W,83,79
35,Sat Mar 16 2024,CTOURN,UC Davis,W,74,70
36,Thu Mar 21 2024,NCAA,Arizona (9),L,65,85
