G,Date,Type,Opponent,W/L,Tm,Opp
1,Mon Nov 6 2023,REG,St. Bonaventure,L,69,73
2,Sat Nov 11 2023,REG,St. Mary's (MD),W,95,43
3,Wed Nov 15 2023,REG,Maryland-Eastern Shore,W,80,61
4,Sat Nov 18 2023,REG,North Carolina Central,W,73,66
5,Fri Nov 24 2023,REG,Delaware State,W,84,82
6,Sat Nov 25 2023,REG,Lamar,W,83,72
7,Sun Nov 26 2023,REG,Bethune-Cookman,W,69,48
8,Thu Nov 30 2023,REG,Newport News-Apprentice,W,95,46
9,Sun Dec 3 2023,REG,Morgan State,W,88,54
10,Sat Dec 9 2023,REG,Delaware State,W,62,61
11,Mon Dec 11 2023,REG,Gallaudet,W,92,61
12,Wed Dec 13 2023,REG,Milwaukee,W,80,67
13,Sun Dec 17 2023,REG,Virginia Military Institute,W,68,49
14,Wed Dec 20 2023,REG,North Carolina Central,L,70,79
15,Sat Dec 30 2023,REG,Dayton,L,69,78
16,Wed Jan 3 2024,REG,Winthrop,L,60,68
17,Sat Jan 6 2024,REG,Charleston Southern,W,77,56
18,Thu Jan 11 2024,REG,Radford,L,58,69
19,Sat Jan 13 2024,REG,UNC Asheville,L,61,65
20,Wed Jan 17 2024,REG,South Carolina Upstate,L,71,73
21,Sat Jan 20 2024,REG,Presbyterian,W,80,70
22,Wed Jan 24 2024,REG,Gardner-Webb,L,64,76
23,Thu Feb 1 2024,REG,High Point,L,76,93
24,Sat Feb 3 2024,REG,Charleston Southern,L,77,83
25,Wed Feb 7 2024,REG,South Carolina Upstate,L,64,69
26,Sat Feb 10 2024,REG,Winthrop,W,84,74
27,Sat Feb 17 2024,REG,Presbyterian,W,81,73
28,Wed Feb 21 2024,REG,UNC Asheville,W,80,75
29,Sat Feb 24 2024,REG,Radford,L,82,88
30,Thu Feb 29 2024,REG,Gardner-Webb,L,69,72
31,Sat Mar 2 2024,REG,High Point,W,74,72
32,Fri Mar 8 2024,CTOURN,Winthrop,W,69,56
33,Sat Mar 9 2024,CTOURN,High Point,W,80,79
34,Sun Mar 10 2024,CTOURN,UNC Asheville,W,85,59
35,Fri Mar 22 2024,NCAA,Houston (2),L,46,86
