G,Date,Type,Opponent,W/L,Tm,Opp
1,Mon Nov 6 2023,REG,Northern Illinois,W,92,70
2,Fri Nov 10 2023,REG,Rider,W,95,65
3,Tue Nov 14 2023,REG,Illinois (23),W,71,64
4,Mon Nov 20 2023,REG,UCLA,W,71,69
5,Tue Nov 21 2023,REG,Kansas (1),W,73,59
6,Wed Nov 22 2023,REG,Purdue (2),L,75,78
7,Tue Nov 28 2023,REG,Southern,W,93,56
8,Sat Dec 2 2023,REG,Wisconsin,L,64,75
9,Wed Dec 6 2023,REG,Texas (12),W,86,65
10,Sat Dec 9 2023,REG,Notre Dame,W,78,59
11,Thu Dec 14 2023,REG,St. Thomas,W,84,79
12,Tue Dec 19 2023,REG,Providence,L,57,72
13,Fri Dec 22 2023,REG,Georgetown,W,81,51
14,Sat Dec 30 2023,REG,Creighton (22),W,72,67
15,Sat Jan 6 2024,REG,Seton Hall,L,75,78
16,Wed Jan 10 2024,REG,Butler,L,62,69
17,Mon Jan 15 2024,REG,Villanova,W,87,74
18,Sat Jan 20 2024,REG,St. John's (NY),W,73,72
19,Wed Jan 24 2024,REG,DePaul,W,86,73
20,Sat Jan 27 2024,REG,Seton Hall,W,75,57
21,Tue Jan 30 2024,REG,Villanova,W,85,80
22,Sat Feb 3 2024,REG,Georgetown,W,91,57
23,Sat Feb 10 2024,REG,St. John's (NY),W,86,75
24,Tue Feb 13 2024,REG,Butler,W,78,72
25,Sat Feb 17 2024,REG,Connecticut (1),L,53,81
26,Wed Feb 21 2024,REG,DePaul,W,105,71
27,Sun Feb 25 2024,REG,Xavier,W,88,64
28,Wed Feb 28 2024,REG,Providence,W,91,69
29,Sat Mar 2 2024,REG,Creighton (12),L,75,89
30,Wed Mar 6 2024,REG,Connecticut (2),L,67,74
31,Sat Mar 9 2024,REG,Xavier,W,86,80
32,Thu Mar 14 2024,CTOURN,Villanova,W,71,65
33,Fri Mar 15 2024,CTOURN,Providence,W,79,68
34,Sat Mar 16 2024,CTOURN,Connecticut (2),L,57,73
35,Fri Mar 22 2024,NCAA,Western Kentucky,W,87,69
36,Sun Mar 24 2024,NCAA,Colorado,W,81,77
37,Fri Mar 29 2024,NCAA,NC State,L,58,67
