G,Date,Type,Opponent,,Tm,Opp
1,Mon Nov 6 2023,REG,Virginia Commonwealth,W,76,65
2,Fri Nov 10 2023,REG,College of Biblical Studies,W,96,55
3,Mon Nov 13 2023,REG,Champion Christian,W,110,46
4,Tue Nov 14 2023,REG,LeTourneau,W,81,49
5,Sat Nov 18 2023,REG,Western Carolina,L,74,76
6,Tue Nov 21 2023,REG,Texas State,W,59,48
7,Wed Nov 22 2023,REG,Louisiana Tech,L,62,71
8,Tue Nov 28 2023,REG,UAB,W,81,60
9,Sat Dec 2 2023,REG,Tennessee-Martin,W,91,80
10,Tue Dec 5 2023,REG,Mississippi Univ. for Women,W,92,23
11,Wed Dec 13 2023,REG,Southern Mississippi,W,67,48
12,Sun Dec 17 2023,REG,Louisiana,W,74,72
13,Fri Dec 29 2023,REG,Michigan,W,87,76
14,Sat Jan 6 2024,REG,East Texas A&M,W,73,67
15,Mon Jan 8 2024,REG,Northwestern State,W,68,59
16,Sat Jan 13 2024,REG,Southeastern Louisiana,W,74,65
17,Mon Jan 15 2024,REG,Lamar,W,88,69
18,Sat Jan 20 2024,REG,Incarnate Word,W,80,66
19,Mon Jan 22 2024,REG,Texas A&M-Corpus Christi,W,62,61
20,Sat Jan 27 2024,REG,New Orleans,W,102,65
21,Mon Jan 29 2024,REG,Northwestern State,W,89,65
22,Sat Feb 3 2024,REG,Southeastern Louisiana,L,74,77
23,Mon Feb 5 2024,REG,East Texas A&M,W,77,51
24,Sat Feb 10 2024,REG,Texas A&M-Corpus Christi,W,74,67
25,Mon Feb 12 2024,REG,Houston Christian,W,105,54
26,Sat Feb 17 2024,REG,Nicholls State,W,74,47
27,Sat Feb 24 2024,REG,Incarnate Word,W,87,71
28,Mon Feb 26 2024,REG,Lamar,W,58,56
29,Sat Mar 2 2024,REG,Nicholls State,W,83,62
30,Mon Mar 4 2024,REG,Houston Christian,W,87,69
31,Wed Mar 6 2024,REG,New Orleans,W,81,57
32,Tue Mar 12 2024,CTOURN,Lamar,W,76,57
33,Wed Mar 13 2024,CTOURN,Nicholls State,W,92,76
34,Thu Mar 21 2024,NCAA,Gonzaga (18),L,65,86
