G,Date,Type,Opponent,W/L,Tm,Opp
1,Mon Nov 6 2023,REG,James Madison,L,76,79
2,Thu Nov 9 2023,REG,Southern Indiana,W,74,51
3,Tue Nov 14 2023,REG,Duke (9),L,65,74
4,Fri Nov 17 2023,REG,Butler,W,74,54
5,Sun Nov 19 2023,REG,Alcorn State,W,81,49
6,Thu Nov 23 2023,REG,Arizona (3),L,68,74
7,Tue Nov 28 2023,REG,Georgia Southern,W,86,55
8,Tue Dec 5 2023,REG,Wisconsin (23),L,57,70
9,Sun Dec 10 2023,REG,Nebraska,L,70,77
10,Sat Dec 16 2023,REG,Baylor (6),W,88,64
11,Mon Dec 18 2023,REG,Oakland,W,79,62
12,Thu Dec 21 2023,REG,Stony Brook,W,99,55
13,Sat Dec 30 2023,REG,Indiana State,W,87,75
14,Thu Jan 4 2024,REG,Penn State,W,92,61
15,Sun Jan 7 2024,REG,Northwestern,L,74,88
16,Thu Jan 11 2024,REG,Illinois (10),L,68,71
17,Sun Jan 14 2024,REG,Rutgers,W,73,55
18,Thu Jan 18 2024,REG,Minnesota,W,76,66
19,Sun Jan 21 2024,REG,Maryland,W,61,59
20,Fri Jan 26 2024,REG,Wisconsin (13),L,66,81
21,Tue Jan 30 2024,REG,Michigan,W,81,62
22,Sat Feb 3 2024,REG,Maryland,W,63,54
23,Tue Feb 6 2024,REG,Minnesota,L,56,59
24,Sat Feb 10 2024,REG,Illinois (10),W,88,80
25,Wed Feb 14 2024,REG,Penn State,W,80,72
26,Sat Feb 17 2024,REG,Michigan,W,73,63
27,Tue Feb 20 2024,REG,Iowa,L,71,78
28,Sun Feb 25 2024,REG,Ohio State,L,57,60
29,Sat Mar 2 2024,REG,Purdue (2),L,74,80
30,Wed Mar 6 2024,REG,Northwestern,W,53,49
31,Sun Mar 10 2024,REG,Indiana,L,64,65
32,Thu Mar 14 2024,CTOURN,Minnesota,W,77,67
33,Fri Mar 15 2024,CTOURN,Purdue (3),L,62,67
34,Thu Mar 21 2024,NCAA,Mississippi State,W,69,51
35,Sat Mar 23 2024,NCAA,North Carolina (5),L,69,85
