G,Date,Type,Opponent,W/L,Tm,Opp
1,Wed Nov 8 2023,REG,Arizona State,W,71,56
2,Sat Nov 11 2023,REG,Tennessee-Martin,W,87,63
3,Tue Nov 14 2023,REG,North Alabama,W,81,54
4,Sat Nov 18 2023,REG,Washington State,W,76,64
5,Sun Nov 19 2023,REG,Northwestern,W,66,57
6,Fri Nov 24 2023,REG,Nicholls State,W,74,61
7,Tue Nov 28 2023,REG,Georgia Tech,L,59,67
8,Sun Dec 3 2023,REG,Southern,L,59,60
9,Sat Dec 9 2023,REG,Tulane,W,106,76
10,Wed Dec 13 2023,REG,Murray State,W,85,81
11,Sun Dec 17 2023,REG,North Texas,W,72,54
12,Sat Dec 23 2023,REG,Rutgers,W,70,60
13,Sun Dec 31 2023,REG,Bethune-Cookman,W,85,62
14,Sat Jan 6 2024,REG,South Carolina,L,62,68
15,Wed Jan 10 2024,REG,Tennessee (5),W,77,72
16,Sat Jan 13 2024,REG,Alabama,L,74,82
17,Wed Jan 17 2024,REG,Kentucky (8),L,77,90
18,Sat Jan 20 2024,REG,Vanderbilt,W,68,55
19,Wed Jan 24 2024,REG,Florida,L,70,79
20,Sat Jan 27 2024,REG,Auburn (8),W,64,58
21,Tue Jan 30 2024,REG,Mississippi,L,82,86
22,Sat Feb 3 2024,REG,Alabama (24),L,67,99
23,Wed Feb 7 2024,REG,Georgia,W,75,62
24,Sat Feb 10 2024,REG,Missouri,W,75,51
25,Sat Feb 17 2024,REG,Arkansas,W,71,67
26,Wed Feb 21 2024,REG,Mississippi,W,83,71
27,Sat Feb 24 2024,REG,Louisiana State,W,87,67
28,Tue Feb 27 2024,REG,Kentucky (16),L,89,91
29,Sat Mar 2 2024,REG,Auburn (11),L,63,78
30,Wed Mar 6 2024,REG,Texas A&M,L,69,75
31,Sat Mar 9 2024,REG,South Carolina (17),L,89,93
32,Thu Mar 14 2024,CTOURN,Louisiana State,W,70,60
33,Fri Mar 15 2024,CTOURN,Tennessee (5),W,73,56
34,Sat Mar 16 2024,CTOURN,Auburn (12),L,66,73
35,Thu Mar 21 2024,NCAA,Michigan State,L,51,69
