G,Date,Type,Opponent,,Tm,Opp
1,Mon Nov 6 2023,REG,Northwest Indian College,W,103,63
2,Sat Nov 11 2023,REG,Seattle,L,68,71
3,Thu Nov 16 2023,REG,California,W,63,60
4,Mon Nov 20 2023,REG,Green Bay,L,53,54
5,Wed Nov 22 2023,REG,UC Riverside,W,69,68
6,Sun Nov 26 2023,REG,Long Beach State,L,69,75
7,Thu Nov 30 2023,REG,Rocky Mountain,L,62,70
8,Tue Dec 5 2023,REG,Washington,L,61,85
9,Sat Dec 16 2023,REG,SAGU Amer. Indian Coll.,W,106,81
10,Tue Dec 19 2023,REG,Southern Utah,W,89,88
11,Fri Dec 22 2023,REG,Cal State Northridge,L,70,82
12,Thu Dec 28 2023,REG,Idaho State,W,74,66
13,Sat Dec 30 2023,REG,Weber State,L,64,86
14,Wed Jan 3 2024,REG,Oral Roberts,L,76,82
15,Sat Jan 6 2024,REG,South Dakota State,L,61,89
16,Thu Jan 11 2024,REG,Northern Arizona,W,79,50
17,Sat Jan 13 2024,REG,Northern Colorado,W,90,81
18,Sat Jan 20 2024,REG,Montana,L,77,87
19,Mon Jan 22 2024,REG,Idaho State,W,77,70
20,Thu Jan 25 2024,REG,Sacramento State,W,70,62
21,Sat Jan 27 2024,REG,Portland State,L,91,94
22,Thu Feb 1 2024,REG,Eastern Washington,W,70,60
23,Sat Feb 3 2024,REG,Idaho,L,75,81
24,Thu Feb 8 2024,REG,Northern Colorado,L,70,73
25,Sat Feb 10 2024,REG,Northern Arizona,L,71,76
26,Sat Feb 17 2024,REG,Montana,L,69,88
27,Thu Feb 22 2024,REG,Portland State,W,72,67
28,Sat Feb 24 2024,REG,Sacramento State,L,63,66
29,Thu Feb 29 2024,REG,Idaho,W,62,48
30,Sat Mar 2 2024,REG,Eastern Washington,L,104,108
31,Mon Mar 4 2024,REG,Weber State,W,76,64
32,Mon Mar 11 2024,CTOURN,Weber State,W,91,82
33,Tue Mar 12 2024,CTOURN,Sacramento State,W,74,71
34,Wed Mar 13 2024,CTOURN,Montana,W,85,70
35,Wed Mar 20 2024,NCAA,Grambling,L,81,88
