G,Date,Type,Opponent,,Tm,Opp
1,Mon Nov 6 2023,REG,Alabama (24),L,73,105
2,Wed Nov 8 2023,REG,Shawnee State,W,96,40
3,Fri Nov 10 2023,REG,Purdue (3),L,57,87
4,Tue Nov 14 2023,REG,Mercer,W,74,66
5,Fri Nov 17 2023,REG,Penn State,L,51,74
6,Mon Nov 20 2023,REG,Bellarmine,W,64,51
7,Wed Nov 22 2023,REG,Midway,W,94,53
8,Wed Nov 29 2023,REG,Austin Peay,W,61,50
9,Sun Dec 3 2023,REG,Chattanooga,W,87,80
10,Sun Dec 10 2023,REG,North Alabama,W,86,77
11,Thu Dec 14 2023,REG,Saint Mary-of-the-Woods College,W,102,33
12,Tue Dec 19 2023,REG,Indiana,L,68,69
13,Thu Dec 21 2023,REG,Alice Lloyd,W,101,39
14,Sun Dec 31 2023,REG,Southeast Missouri State,W,83,64
15,Thu Jan 4 2024,REG,Tennessee Tech,W,82,57
16,Sat Jan 6 2024,REG,Tennessee State,W,78,68
17,Thu Jan 11 2024,REG,Eastern Illinois,W,78,52
18,Sat Jan 13 2024,REG,Southern Illinois-Edwardsville,L,48,61
19,Thu Jan 18 2024,REG,Tennessee-Martin,W,84,66
20,Sat Jan 20 2024,REG,Southern Indiana,W,81,70
21,Sat Jan 27 2024,REG,Western Illinois,W,64,50
22,Thu Feb 1 2024,REG,Tennessee State,W,68,49
23,Sat Feb 3 2024,REG,Tennessee Tech,W,67,60
24,Thu Feb 8 2024,REG,Southern Illinois-Edwardsville,W,79,68
25,Sat Feb 10 2024,REG,Eastern Illinois,W,69,57
26,Thu Feb 15 2024,REG,Little Rock,L,68,69
27,Sat Feb 17 2024,REG,Tennessee-Martin,L,82,88
28,Tue Feb 20 2024,REG,Southern Indiana,L,73,80
29,Thu Feb 22 2024,REG,Western Illinois,W,78,57
30,Thu Feb 29 2024,REG,Southeast Missouri State,W,72,50
31,Sat Mar 2 2024,REG,Lindenwood,W,67,49
32,Thu Mar 7 2024,CTOURN,Southern Illinois-Edwardsville,W,78,63
33,Fri Mar 8 2024,CTOURN,Tennessee-Martin,W,84,78
34,Sat Mar 9 2024,CTOURN,Little Rock,W,69,55
35,Thu Mar 21 2024,NCAA,Illinois (10),L,69,85
