G,Date,Type,Opponent,,Tm,Opp
1,Mon Nov 6 2023,REG,The Citadel,W,72,59
2,Fri Nov 10 2023,REG,Abilene Christian,W,84,64
3,Fri Nov 17 2023,REG,Charleston Southern,W,87,53
4,Thu Nov 23 2023,REG,Vanderbilt,W,84,78
5,Fri Nov 24 2023,REG,Brigham Young,L,86,95
6,Tue Nov 28 2023,REG,Mississippi,L,52,72
7,Sat Dec 2 2023,REG,Boston College,W,84,78
8,Wed Dec 6 2023,REG,Maryland-Eastern Shore,W,93,61
9,Tue Dec 12 2023,REG,Tennessee-Martin,W,81,67
10,Sat Dec 16 2023,REG,Tennessee (12),L,70,79
11,Wed Dec 20 2023,REG,Saint Louis,W,82,70
12,Sat Dec 23 2023,REG,Detroit Mercy,W,83,66
13,Wed Jan 3 2024,REG,Notre Dame,W,54,52
14,Sat Jan 6 2024,REG,Virginia,W,76,60
15,Wed Jan 10 2024,REG,North Carolina (7),L,54,67
16,Sat Jan 13 2024,REG,Louisville,W,89,83
17,Tue Jan 16 2024,REG,Wake Forest,W,83,76
18,Sat Jan 20 2024,REG,Virginia Tech,L,78,84
19,Wed Jan 24 2024,REG,Virginia,L,53,59
20,Sat Jan 27 2024,REG,Syracuse,L,65,77
21,Tue Jan 30 2024,REG,Miami (FL),W,74,68
22,Sat Feb 3 2024,REG,Georgia Tech,W,82,76
23,Wed Feb 7 2024,REG,Pittsburgh,L,64,67
24,Sat Feb 10 2024,REG,Wake Forest,L,79,83
25,Sat Feb 17 2024,REG,Clemson,W,78,77
26,Tue Feb 20 2024,REG,Syracuse,L,83,87
27,Sat Feb 24 2024,REG,Boston College,W,81,70
28,Tue Feb 27 2024,REG,Florida State,L,83,90
29,Sat Mar 2 2024,REG,North Carolina (9),L,70,79
30,Mon Mar 4 2024,REG,Duke (9),L,64,79
31,Sat Mar 9 2024,REG,Pittsburgh,L,73,81
32,Tue Mar 12 2024,CTOURN,Louisville,W,94,85
33,Wed Mar 13 2024,CTOURN,Syracuse,W,83,65
34,Thu Mar 14 2024,CTOURN,Duke (11),W,74,69
35,Fri Mar 15 2024,CTOURN,Virginia,W,73,65
36,Sat Mar 16 2024,CTOURN,North Carolina (4),W,84,76
37,Thu Mar 21 2024,NCAA,Texas Tech (22),W,80,67
38,Sat Mar 23 2024,NCAA,Oakland,W,79,73
39,Fri Mar 29 2024,NCAA,Marquette (8),W,67,58
40,Sun Mar 31 2024,NCAA,Duke (13),W,76,64
41,Sat Apr 6 2024,NCAA,Purdue (3),L,50,63
