G,Date,Type,Opponent,W/L,Tm,Opp
1,Mon Nov 6 2023,REG,Lindenwood,W,84,52
2,Thu Nov 9 2023,REG,Florida A&M,W,81,54
3,Mon Nov 13 2023,REG,Rider,W,64,50
4,Wed Nov 15 2023,REG,Stony Brook,W,84,63
5,Sat Nov 18 2023,REG,Oregon State,W,84,63
6,Wed Nov 22 2023,REG,Duquesne,W,89,79
7,Sun Nov 26 2023,REG,Cal State Fullerton,W,85,72
8,Sun Dec 3 2023,REG,Creighton (15),L,60,89
9,Wed Dec 6 2023,REG,Minnesota,L,65,76
10,Sun Dec 10 2023,REG,Michigan State,W,77,70
11,Sun Dec 17 2023,REG,Kansas State,W,62,46
12,Wed Dec 20 2023,REG,North Dakota,W,83,75
13,Fri Dec 29 2023,REG,South Carolina State,W,91,62
14,Wed Jan 3 2024,REG,Indiana,W,86,70
15,Sat Jan 6 2024,REG,Wisconsin (21),L,72,88
16,Tue Jan 9 2024,REG,Purdue (1),W,88,72
17,Fri Jan 12 2024,REG,Iowa,L,76,94
18,Wed Jan 17 2024,REG,Rutgers,L,82,87
19,Sat Jan 20 2024,REG,Northwestern,W,75,69
20,Tue Jan 23 2024,REG,Ohio State,W,83,69
21,Sat Jan 27 2024,REG,Maryland,L,51,73
22,Thu Feb 1 2024,REG,Wisconsin (6),W,80,72
23,Sun Feb 4 2024,REG,Illinois (14),L,84,87
24,Wed Feb 7 2024,REG,Northwestern,L,68,80
25,Sat Feb 10 2024,REG,Michigan,W,79,59
26,Sat Feb 17 2024,REG,Penn State,W,68,49
27,Wed Feb 21 2024,REG,Indiana,W,85,70
28,Sun Feb 25 2024,REG,Minnesota,W,73,55
29,Thu Feb 29 2024,REG,Ohio State,L,69,78
30,Sun Mar 3 2024,REG,Rutgers,W,67,56
31,Sun Mar 10 2024,REG,Michigan,W,85,70
32,Fri Mar 15 2024,CTOURN,Indiana,W,93,66
33,Sat Mar 16 2024,CTOURN,Illinois (13),L,87,98
34,Fri Mar 22 2024,NCAA,Texas A&M,L,83,98
