G,Date,Type,Opponent,,Tm,Opp
1,Tue Nov 7 2023,REG,Sacramento State,W,77,63
2,Sun Nov 12 2023,REG,Washington,W,83,76
3,Wed Nov 15 2023,REG,Pacific,W,88,39
4,Sat Nov 18 2023,REG,Portland,W,108,83
5,Wed Nov 29 2023,REG,Montana,W,77,66
6,Sat Dec 2 2023,REG,Loyola Marymount,W,73,59
7,Wed Dec 6 2023,REG,UC Davis,W,80,68
8,Sat Dec 9 2023,REG,Drake,L,53,72
9,Wed Dec 13 2023,REG,Weber State,W,72,55
10,Sun Dec 17 2023,REG,Hawaii,W,72,66
11,Thu Dec 21 2023,REG,Temple,W,80,56
12,Fri Dec 22 2023,REG,TCU,W,88,75
13,Sun Dec 24 2023,REG,Georgia Tech,W,72,64
14,Sat Dec 30 2023,REG,Fresno Pacific,W,92,59
15,Sat Jan 6 2024,REG,Fresno State,W,72,57
16,Tue Jan 9 2024,REG,Air Force,W,67,54
17,Fri Jan 12 2024,REG,Boise State,L,56,64
18,Wed Jan 17 2024,REG,San Diego State,L,59,71
19,Sat Jan 20 2024,REG,Wyoming,L,93,98
20,Wed Jan 24 2024,REG,Colorado State (24),W,77,64
21,Sun Jan 28 2024,REG,New Mexico (25),L,55,89
22,Fri Feb 2 2024,REG,San Jose State,W,90,60
23,Tue Feb 6 2024,REG,Utah State (22),W,77,63
24,Fri Feb 9 2024,REG,San Diego State (24),W,70,66
25,Tue Feb 13 2024,REG,New Mexico,L,82,83
26,Sat Feb 17 2024,REG,Nevada-Las Vegas,W,69,66
27,Tue Feb 20 2024,REG,Wyoming,W,76,58
28,Fri Feb 23 2024,REG,San Jose State,W,84,63
29,Tue Feb 27 2024,REG,Colorado State,W,77,74
30,Fri Mar 1 2024,REG,Fresno State,W,74,66
31,Tue Mar 5 2024,REG,Boise State,W,76,66
32,Sat Mar 9 2024,REG,Nevada-Las Vegas,W,75,65
33,Thu Mar 14 2024,CTOURN,Colorado State,L,78,85
34,Thu Mar 21 2024,NCAA,Dayton,L,60,63
