G,Date,Type,Opponent,,Tm,Opp
1,Mon Nov 6 2023,REG,Texas Southern,W,92,55
2,Thu Nov 9 2023,REG,Saint Mary's (CA) (23),L,58,72
3,Thu Nov 16 2023,REG,UT Arlington,W,82,80
4,Tue Nov 21 2023,REG,Toledo,W,92,84
5,Wed Nov 22 2023,REG,Rice,W,90,56
6,Fri Nov 24 2023,REG,Pepperdine,W,90,71
7,Wed Nov 29 2023,REG,Louisiana Tech,W,74,65
8,Sat Dec 2 2023,REG,New Mexico State,W,106,62
9,Wed Dec 6 2023,REG,UC Santa Barbara,W,84,61
10,Sat Dec 9 2023,REG,Santa Clara,W,93,76
11,Fri Dec 15 2023,REG,New Mexico State,W,73,72
12,Wed Dec 20 2023,REG,UC Irvine,W,78,65
13,Fri Dec 29 2023,REG,Eastern New Mexico,W,87,54
14,Tue Jan 2 2024,REG,Colorado State (13),L,68,76
15,Sat Jan 6 2024,REG,Wyoming,W,77,60
16,Tue Jan 9 2024,REG,Nevada-Las Vegas,L,73,83
17,Sat Jan 13 2024,REG,San Diego State (19),W,88,70
18,Tue Jan 16 2024,REG,Utah State (16),W,99,86
19,Sat Jan 20 2024,REG,Air Force,W,85,66
20,Wed Jan 24 2024,REG,San Jose State,W,95,75
21,Sun Jan 28 2024,REG,Nevada,W,89,55
22,Wed Jan 31 2024,REG,Boise State,L,78,86
23,Tue Feb 6 2024,REG,Wyoming,W,91,73
24,Sat Feb 10 2024,REG,Nevada-Las Vegas,L,77,80
25,Tue Feb 13 2024,REG,Nevada,W,83,82
26,Fri Feb 16 2024,REG,San Diego State,L,70,81
27,Wed Feb 21 2024,REG,Colorado State (22),W,68,66
28,Sat Feb 24 2024,REG,Air Force,L,77,78
29,Sat Mar 2 2024,REG,Boise State,L,79,89
30,Wed Mar 6 2024,REG,Fresno State,W,79,58
31,Sat Mar 9 2024,REG,Utah State (22),L,85,87
32,Wed Mar 13 2024,CTOURN,Air Force,W,82,56
33,Thu Mar 14 2024,CTOURN,Boise State,W,76,66
34,Sat Mar 16 2024,CTOURN,Colorado State,W,74,61
35,Sat Mar 16 2024,CTOURN,San Diego State,W,68,61
36,Fri Mar 22 2024,NCAA,Clemson,L,56,77
