G,Date,Type,Opponent,,Tm,Opp
1,Mon Nov 6 2023,REG,Binghamton,W,72,61
2,Fri Nov 10 2023,REG,Dayton,W,71,66
3,Tue Nov 14 2023,REG,Western Michigan,W,63,59
4,Sat Nov 18 2023,REG,Rhode Island,W,72,61
5,Sun Nov 19 2023,REG,Mississippi State,L,57,66
6,Mon Nov 27 2023,REG,Northern Illinois,W,89,67
7,Fri Dec 1 2023,REG,Purdue (1),W,92,88
8,Sun Dec 10 2023,REG,Detroit Mercy,W,91,59
9,Wed Dec 13 2023,REG,Chicago State,L,73,75
10,Sat Dec 16 2023,REG,DePaul,W,56,46
11,Wed Dec 20 2023,REG,Arizona State,W,65,46
12,Fri Dec 29 2023,REG,Jackson State,W,74,63
13,Tue Jan 2 2024,REG,Illinois (9),L,66,96
14,Sun Jan 7 2024,REG,Michigan State,W,88,74
15,Wed Jan 10 2024,REG,Penn State,W,76,72
16,Sat Jan 13 2024,REG,Wisconsin (15),L,63,71
17,Wed Jan 17 2024,REG,Maryland,W,72,69
18,Sat Jan 20 2024,REG,Nebraska,L,69,75
19,Wed Jan 24 2024,REG,Illinois (10),W,96,91
20,Sat Jan 27 2024,REG,Ohio State,W,83,58
21,Wed Jan 31 2024,REG,Purdue (2),L,96,105
22,Sat Feb 3 2024,REG,Minnesota,L,66,75
23,Wed Feb 7 2024,REG,Nebraska,W,80,68
24,Sun Feb 11 2024,REG,Penn State,W,68,63
25,Thu Feb 15 2024,REG,Rutgers,L,60,63
26,Sun Feb 18 2024,REG,Indiana,W,76,72
27,Thu Feb 22 2024,REG,Michigan,W,76,62
28,Wed Feb 28 2024,REG,Maryland,W,68,61
29,Sat Mar 2 2024,REG,Iowa,L,80,87
30,Wed Mar 6 2024,REG,Michigan State,L,49,53
31,Sat Mar 9 2024,REG,Minnesota,W,90,66
32,Fri Mar 15 2024,CTOURN,Wisconsin,L,61,70
33,Fri Mar 22 2024,NCAA,Florida Atlantic,W,77,65
34,Sun Mar 24 2024,NCAA,Connecticut (1),L,58,75
