G,Date,Type,Opponent,,Tm,Opp
1,Mon Nov 6 2023,REG,Ohio State,L,73,79
2,Fri Nov 10 2023,REG,Illinois (25),L,53,64
3,Tue Nov 14 2023,REG,Bowling Green State,W,81,62
4,Sun Nov 19 2023,REG,Drake,L,77,85
5,Mon Nov 20 2023,REG,Loyola Marymount,W,74,69
6,Tue Nov 21 2023,REG,Marshall,W,78,71
7,Mon Nov 27 2023,REG,Xavier,W,78,76
8,Wed Nov 29 2023,REG,Detroit Mercy,W,65,50
9,Sat Dec 2 2023,REG,Purdue Fort Wayne,L,77,98
10,Wed Dec 6 2023,REG,Toledo,L,68,69
11,Fri Dec 8 2023,REG,Eastern Michigan,W,77,63
12,Mon Dec 18 2023,REG,Michigan State,L,62,79
13,Wed Dec 20 2023,REG,Dayton,L,67,91
14,Thu Dec 28 2023,REG,Cleveland State,L,67,75
15,Sun Dec 31 2023,REG,Youngstown State,W,88,81
16,Thu Jan 4 2024,REG,Milwaukee,W,100,95
17,Sat Jan 6 2024,REG,Green Bay,W,79,73
18,Wed Jan 10 2024,REG,Northern Kentucky,W,70,65
19,Sat Jan 13 2024,REG,IU Indy,W,88,66
20,Wed Jan 17 2024,REG,Youngstown State,W,70,67
21,Thu Jan 25 2024,REG,Green Bay,L,59,69
22,Sat Jan 27 2024,REG,Milwaukee,W,91,87
23,Thu Feb 1 2024,REG,Robert Morris,W,87,72
24,Sat Feb 3 2024,REG,Cleveland State,W,83,71
25,Thu Feb 8 2024,REG,Northern Kentucky,L,89,99
26,Sat Feb 10 2024,REG,Wright State,W,74,60
27,Wed Feb 14 2024,REG,Purdue Fort Wayne,W,71,63
28,Sat Feb 17 2024,REG,IU Indy,W,107,59
29,Thu Feb 22 2024,REG,Robert Morris,W,63,43
30,Sun Feb 25 2024,REG,Wright State,L,75,96
31,Sat Mar 2 2024,REG,Detroit Mercy,W,75,70
32,Thu Mar 7 2024,CTOURN,Purdue Fort Wayne,W,75,65
33,Mon Mar 11 2024,CTOURN,Cleveland State,W,74,71
34,Tue Mar 12 2024,CTOURN,Milwaukee,W,83,76
35,Thu Mar 21 2024,NCAA,Kentucky (12),W,80,76
36,Sat Mar 23 2024,NCAA,NC State,L,73,79
