G,Date,Type,Opponent,,Tm,Opp
1,Mon Nov 6 2023,REG,Georgia,W,82,71
2,Fri Nov 10 2023,REG,Montana,W,75,61
3,Fri Nov 17 2023,REG,Tennessee State,W,92,67
4,Mon Nov 20 2023,REG,Florida A&M,W,67,54
5,Fri Nov 24 2023,REG,Santa Clara,L,82,88
6,Sat Nov 25 2023,REG,Alabama (17),L,91,99
7,Sat Dec 2 2023,REG,Michigan,W,86,83
8,Sat Dec 9 2023,REG,UTEP,W,71,49
9,Tue Dec 12 2023,REG,California Baptist,W,76,55
10,Sun Dec 17 2023,REG,Syracuse,L,63,83
11,Thu Dec 21 2023,REG,Kent State,W,84,70
12,Thu Dec 28 2023,REG,Southern California,W,82,74
13,Sat Dec 30 2023,REG,UCLA,W,64,59
14,Thu Jan 4 2024,REG,Washington,W,76,74
15,Sat Jan 6 2024,REG,Washington State,W,89,84
16,Sat Jan 13 2024,REG,California,W,80,73
17,Thu Jan 18 2024,REG,Colorado,L,70,86
18,Sun Jan 21 2024,REG,Utah,L,77,80
19,Thu Jan 25 2024,REG,Arizona State,W,80,61
20,Sat Jan 27 2024,REG,Arizona (9),L,78,87
21,Thu Feb 1 2024,REG,Southern California,W,78,69
22,Sat Feb 3 2024,REG,UCLA,L,63,71
23,Thu Feb 8 2024,REG,Washington,W,85,80
24,Sat Feb 10 2024,REG,Washington State,L,56,62
25,Sat Feb 17 2024,REG,Oregon State,W,60,58
26,Thu Feb 22 2024,REG,Stanford,W,78,65
27,Sat Feb 24 2024,REG,California,L,64,69
28,Wed Feb 28 2024,REG,Oregon State,W,78,71
29,Sat Mar 2 2024,REG,Arizona (6),L,83,103
30,Thu Mar 7 2024,REG,Colorado,L,75,79
31,Sat Mar 9 2024,REG,Utah,W,66,65
32,Thu Mar 14 2024,CTOURN,UCLA,W,68,66
33,Fri Mar 15 2024,CTOURN,Arizona (6),W,67,59
34,Sat Mar 16 2024,CTOURN,Colorado,W,75,68
35,Thu Mar 21 2024,NCAA,South Carolina (16),W,87,73
36,Sat Mar 23 2024,NCAA,Creighton (11),L,73,86
