G,Date,Type,Opponent,W/L,Tm,Opp
1,Mon Nov 6 2023,REG,Samford,W,98,45
2,Fri Nov 10 2023,REG,Morehead State,W,87,57
3,Mon Nov 13 2023,REG,Xavier,W,83,71
4,Mon Nov 20 2023,REG,Gonzaga (11),W,73,63
5,Tue Nov 21 2023,REG,Tennessee (7),W,71,67
6,Wed Nov 22 2023,REG,Marquette (4),W,78,75
7,Tue Nov 28 2023,REG,Texas Southern,W,99,67
8,Fri Dec 1 2023,REG,Northwestern,L,88,92
9,Mon Dec 4 2023,REG,Iowa,W,87,68
10,Sat Dec 9 2023,REG,Alabama,W,92,86
11,Sat Dec 16 2023,REG,Arizona (1),W,92,84
12,Thu Dec 21 2023,REG,Jacksonville,W,100,57
13,Fri Dec 29 2023,REG,Eastern Kentucky,W,80,53
14,Tue Jan 2 2024,REG,Maryland,W,67,53
15,Fri Jan 5 2024,REG,Illinois (9),W,83,78
16,Tue Jan 9 2024,REG,Nebraska,L,72,88
17,Sat Jan 13 2024,REG,Penn State,W,95,78
18,Tue Jan 16 2024,REG,Indiana,W,87,66
19,Sat Jan 20 2024,REG,Iowa,W,84,70
20,Tue Jan 23 2024,REG,Michigan,W,99,67
21,Sun Jan 28 2024,REG,Rutgers,W,68,60
22,Wed Jan 31 2024,REG,Northwestern,W,105,96
23,Sun Feb 4 2024,REG,Wisconsin (6),W,75,69
24,Sat Feb 10 2024,REG,Indiana,W,79,59
25,Thu Feb 15 2024,REG,Minnesota,W,84,76
26,Sun Feb 18 2024,REG,Ohio State,L,69,73
27,Thu Feb 22 2024,REG,Rutgers,W,96,68
28,Sun Feb 25 2024,REG,Michigan,W,84,76
29,Sat Mar 2 2024,REG,Michigan State,W,80,74
30,Tue Mar 5 2024,REG,Illinois (12),W,77,71
31,Sun Mar 10 2024,REG,Wisconsin,W,78,70
32,Fri Mar 15 2024,CTOURN,Michigan State,W,67,62
33,Sat Mar 16 2024,CTOURN,Wisconsin,L,75,76
34,Fri Mar 22 2024,NCAA,Grambling,W,78,50
35,Sun Mar 24 2024,NCAA,Utah State (20),W,106,67
36,Fri Mar 29 2024,NCAA,Gonzaga (18),W,80,68
37,Sun Mar 31 2024,NCAA,Tennessee (6),W,72,66
38,Sat Apr 6 2024,NCAA,NC State,W,63,50
39,Mon Apr 8 2024,NCAA,Connecticut (1),L,60,75
