G,Date,Type,Opponent,,Tm,Opp
1,Mon Nov 6 2023,REG,Cal State Stanislaus,W,107,28
2,Thu Nov 9 2023,REG,New Mexico,W,72,58
3,Sun Nov 12 2023,REG,Weber State,L,57,61
4,Fri Nov 17 2023,REG,San Diego State,L,54,79
5,Sun Nov 19 2023,REG,Xavier,L,49,66
6,Fri Nov 24 2023,REG,Davidson,W,89,55
7,Mon Nov 27 2023,REG,Utah,L,71,78
8,Fri Dec 1 2023,REG,Boise State,L,60,63
9,Tue Dec 5 2023,REG,Cleveland State,W,70,57
10,Sat Dec 9 2023,REG,Colorado State (13),W,64,61
11,Sat Dec 16 2023,REG,Nevada-Las Vegas,W,69,67
12,Tue Dec 19 2023,REG,Middle Tennessee,W,71,34
13,Thu Dec 21 2023,REG,Northern Kentucky,W,92,56
14,Sat Dec 23 2023,REG,Missouri State,L,64,69
15,Fri Dec 29 2023,REG,Kent State,W,66,46
16,Thu Jan 4 2024,REG,San Diego,W,81,70
17,Sat Jan 6 2024,REG,Loyola Marymount,W,68,64
18,Thu Jan 11 2024,REG,Portland,W,95,52
19,Sat Jan 13 2024,REG,Santa Clara,W,73,49
20,Sat Jan 20 2024,REG,San Francisco,W,77,60
21,Thu Jan 25 2024,REG,Pacific,W,76,28
22,Sat Jan 27 2024,REG,Loyola Marymount,W,70,65
23,Wed Jan 31 2024,REG,Santa Clara,W,82,77
24,Sat Feb 3 2024,REG,Gonzaga,W,64,62
25,Tue Feb 6 2024,REG,Pacific,W,84,43
26,Sat Feb 10 2024,REG,Portland,W,76,51
27,Thu Feb 15 2024,REG,Pepperdine,W,103,59
28,Tue Feb 20 2024,REG,San Francisco,W,70,66
29,Sat Feb 24 2024,REG,San Diego,W,88,62
30,Thu Feb 29 2024,REG,Pepperdine,W,83,57
31,Sat Mar 2 2024,REG,Gonzaga (23),L,57,70
32,Mon Mar 11 2024,CTOURN,Santa Clara,W,79,65
33,Tue Mar 12 2024,CTOURN,Gonzaga (17),W,69,60
34,Fri Mar 22 2024,NCAA,Grand Canyon,L,66,75
