G,Date,Type,Opponent,,Tm,Opp
1,Mon Nov 6 2023,REG,Seton Hall,L,59,70
2,Sat Nov 11 2023,REG,NJIT,W,75,48
3,Wed Nov 15 2023,REG,FDU,L,70,71
4,Mon Nov 20 2023,REG,Massachusetts-Lowell,L,61,69
5,Mon Nov 27 2023,REG,Rutgers,L,40,71
6,Fri Dec 1 2023,REG,Niagara,W,72,67
7,Sun Dec 3 2023,REG,Canisius,W,54,52
8,Fri Dec 8 2023,REG,Duquesne,L,59,68
9,Tue Dec 12 2023,REG,Maryland-Baltimore County,W,66,60
10,Fri Dec 22 2023,REG,Kean,W,73,70
11,Sat Dec 30 2023,REG,Bucknell,W,67,58
12,Fri Jan 5 2024,REG,Iona,W,69,57
13,Sun Jan 7 2024,REG,Mount St. Mary's,W,70,64
14,Sun Jan 14 2024,REG,Manhattan,W,81,68
15,Fri Jan 19 2024,REG,Fairfield,L,67,76
16,Sun Jan 21 2024,REG,Canisius,W,70,59
17,Thu Jan 25 2024,REG,Rider,L,57,62
18,Sun Jan 28 2024,REG,Siena,W,63,52
19,Fri Feb 2 2024,REG,Niagara,L,59,68
20,Sun Feb 4 2024,REG,Marist,L,52,63
21,Thu Feb 8 2024,REG,Quinnipiac,L,73,84
22,Sat Feb 10 2024,REG,Fairfield,L,62,64
23,Fri Feb 16 2024,REG,Siena,W,75,53
24,Sun Feb 18 2024,REG,Iona,W,59,53
25,Fri Feb 23 2024,REG,Mount St. Mary's,W,70,65
26,Sun Feb 25 2024,REG,Marist,W,69,60
27,Sun Mar 3 2024,REG,Manhattan,W,89,57
28,Thu Mar 7 2024,REG,Rider,L,56,61
29,Sat Mar 9 2024,REG,Quinnipiac,L,74,89
30,Thu Mar 14 2024,CTOURN,Rider,W,50,48
31,Fri Mar 15 2024,CTOURN,Quinnipiac,W,62,60
32,Sat Mar 16 2024,CTOURN,Fairfield,W,68,63
33,Thu Mar 21 2024,NCAA,Tennessee (6),L,49,83
