G,Date,Type,Opponent,,Tm,Opp
1,Mon Nov 6 2023,REG,Purdue (3),L,45,98
2,Fri Nov 10 2023,REG,Virginia Commonwealth,L,65,75
3,Tue Nov 14 2023,REG,Mississippi College,W,96,52
4,Fri Nov 17 2023,REG,South Carolina State,W,89,72
5,Wed Nov 22 2023,REG,Alabama State,W,99,67
6,Fri Nov 24 2023,REG,Merrimack,W,79,71
7,Sat Nov 25 2023,REG,North Carolina A&T,W,101,83
8,Thu Nov 30 2023,REG,Louisiana,W,88,65
9,Sun Dec 3 2023,REG,LaGrange,W,128,82
10,Mon Dec 11 2023,REG,Alabama A&M,W,118,91
11,Sat Dec 16 2023,REG,Belmont,W,99,93
12,Tue Dec 19 2023,REG,Valparaiso,W,79,61
13,Thu Dec 21 2023,REG,Texas Southern,W,87,65
14,Wed Jan 3 2024,REG,Chattanooga,W,89,74
15,Sat Jan 6 2024,REG,The Citadel,W,80,64
16,Thu Jan 11 2024,REG,UNC Greensboro,W,79,70
17,Sat Jan 13 2024,REG,Virginia Military Institute,W,134,96
18,Tue Jan 16 2024,REG,Western Carolina,W,75,71
19,Sat Jan 20 2024,REG,Mercer,W,87,80
20,Wed Jan 24 2024,REG,Furman,L,68,78
21,Sat Jan 27 2024,REG,East Tennessee State,W,75,72
22,Wed Jan 31 2024,REG,Wofford,W,81,79
23,Sat Feb 3 2024,REG,Chattanooga,W,78,56
24,Thu Feb 8 2024,REG,UNC Greensboro,W,78,69
25,Sat Feb 10 2024,REG,Virginia Military Institute,W,102,63
26,Wed Feb 14 2024,REG,Western Carolina,W,88,62
27,Sat Feb 17 2024,REG,Mercer,L,84,88
28,Wed Feb 21 2024,REG,Furman,W,74,72
29,Sat Feb 24 2024,REG,East Tennessee State,W,87,71
30,Wed Feb 28 2024,REG,Wofford,L,69,91
31,Sat Mar 2 2024,REG,The Citadel,W,92,80
32,Sat Mar 9 2024,CTOURN,Mercer,W,70,57
33,Sun Mar 10 2024,CTOURN,Furman,W,84,77
34,Mon Mar 11 2024,CTOURN,East Tennessee State,W,76,69
35,Thu Mar 21 2024,NCAA,Kansas (17),L,89,93
