G,Date,Type,Opponent,,Tm,Opp
1,Mon Nov 6 2023,REG,Cal State Fullerton,W,83,57
2,Fri Nov 10 2023,REG,Brigham Young,L,65,74
3,Tue Nov 14 2023,REG,Long Beach State,W,88,76
4,Fri Nov 17 2023,REG,Saint Mary's (CA),W,79,54
5,Sun Nov 19 2023,REG,Washington,W,100,97
6,Sat Nov 25 2023,REG,California,W,76,67
7,Mon Nov 27 2023,REG,Point Loma Nazarene,W,71,51
8,Fri Dec 1 2023,REG,UC San Diego,W,63,62
9,Tue Dec 5 2023,REG,Grand Canyon,L,73,79
10,Sat Dec 9 2023,REG,UC Irvine,W,63,62
11,Tue Dec 19 2023,REG,St. Katherine,W,91,57
12,Thu Dec 21 2023,REG,Stanford,W,74,60
13,Fri Dec 29 2023,REG,Gonzaga (13),W,84,74
14,Wed Jan 3 2024,REG,Fresno State,W,74,47
15,Sat Jan 6 2024,REG,Nevada-Las Vegas,W,72,61
16,Tue Jan 9 2024,REG,San Jose State,W,81,78
17,Sat Jan 13 2024,REG,New Mexico,L,70,88
18,Wed Jan 17 2024,REG,Nevada,W,71,59
19,Sat Jan 20 2024,REG,Boise State,L,66,67
20,Tue Jan 23 2024,REG,Wyoming,W,81,65
21,Tue Jan 30 2024,REG,Colorado State,L,71,79
22,Sat Feb 3 2024,REG,Utah State (17),W,81,67
23,Tue Feb 6 2024,REG,Air Force,W,77,64
24,Fri Feb 9 2024,REG,Nevada,L,66,70
25,Tue Feb 13 2024,REG,Colorado State,W,71,55
26,Fri Feb 16 2024,REG,New Mexico,W,81,70
27,Tue Feb 20 2024,REG,Utah State,L,63,68
28,Sat Feb 24 2024,REG,Fresno State,W,73,41
29,Tue Feb 27 2024,REG,San Jose State,W,72,64
