G,Date,Type,Opponent,W/L,Tm,Opp
1,Mon Nov 6 2023,REG,South Carolina Upstate,W,82,53
2,Fri Nov 10 2023,REG,Virginia Tech,W,79,77
3,Mon Nov 13 2023,REG,Virginia Military Institute,W,74,64
4,Fri Nov 17 2023,REG,DePaul,W,73,68
5,Sun Nov 19 2023,REG,Grand Canyon,W,75,68
6,Tue Nov 28 2023,REG,Notre Dame,W,65,53
7,Fri Dec 1 2023,REG,George Washington,W,89,67
8,Wed Dec 6 2023,REG,Clemson (24),L,67,72
9,Sat Dec 9 2023,REG,East Carolina,W,68,62
10,Sat Dec 16 2023,REG,Charleston Southern,W,73,69
11,Tue Dec 19 2023,REG,Winthrop,W,72,62
12,Fri Dec 22 2023,REG,Elon,W,70,43
13,Sat Dec 30 2023,REG,Florida A&M,W,94,62
14,Sat Jan 6 2024,REG,Mississippi State,W,68,62
15,Tue Jan 9 2024,REG,Alabama,L,47,74
16,Sat Jan 13 2024,REG,Missouri,W,71,69
17,Tue Jan 16 2024,REG,Georgia,L,69,74
18,Sat Jan 20 2024,REG,Arkansas,W,77,64
19,Tue Jan 23 2024,REG,Kentucky (6),W,79,62
20,Sat Jan 27 2024,REG,Missouri,W,72,64
21,Tue Jan 30 2024,REG,Tennessee (5),W,63,59
22,Sat Feb 3 2024,REG,Georgia,W,72,62
23,Tue Feb 6 2024,REG,Mississippi,W,68,65
24,Sat Feb 10 2024,REG,Vanderbilt,W,75,60
25,Wed Feb 14 2024,REG,Auburn (13),L,61,101
26,Sat Feb 17 2024,REG,Louisiana State,L,63,64
27,Sat Feb 24 2024,REG,Mississippi,W,72,59
28,Wed Feb 28 2024,REG,Texas A&M,W,70,68
29,Sat Mar 2 2024,REG,Florida (24),W,82,76
30,Wed Mar 6 2024,REG,Tennessee (4),L,59,66
31,Sat Mar 9 2024,REG,Mississippi State,W,93,89
32,Thu Mar 14 2024,CTOURN,Arkansas,W,80,66
33,Fri Mar 15 2024,CTOURN,Auburn (12),L,55,86
34,Thu Mar 21 2024,NCAA,Oregon,L,73,87
