G,Date,Type,Opponent,,Tm,Opp
1,Mon Nov 6 2023,REG,Akron,L,75,81
2,Wed Nov 8 2023,REG,Dakota Wesleyan,W,83,55
3,Mon Nov 13 2023,REG,Kansas State,L,68,91
4,Sun Nov 19 2023,REG,UCF,L,80,83
5,Mon Nov 20 2023,REG,George Mason,L,71,73
6,Wed Nov 22 2023,REG,Southern Mississippi,W,65,54
7,Mon Nov 27 2023,REG,Mount Marty,W,92,70
8,Fri Dec 1 2023,REG,Towson,W,61,48
9,Tue Dec 5 2023,REG,Kent State,L,73,82
10,Sat Dec 9 2023,REG,Wichita State,W,79,69
11,Thu Dec 14 2023,REG,Mayville State,W,94,62
12,Wed Dec 20 2023,REG,Wyoming,L,65,78
13,Thu Dec 21 2023,REG,Norfolk State,L,65,84
14,Sun Dec 31 2023,REG,North Dakota,W,80,61
15,Wed Jan 3 2024,REG,Weber State,L,73,75
16,Sat Jan 6 2024,REG,Montana State,W,89,61
17,Thu Jan 11 2024,REG,St. Thomas,W,81,80
18,Sat Jan 13 2024,REG,Denver,L,80,99
19,Thu Jan 18 2024,REG,Omaha,W,90,87
20,Sat Jan 20 2024,REG,South Dakota,W,73,55
21,Thu Jan 25 2024,REG,Kansas City,W,75,66
22,Sat Jan 27 2024,REG,Oral Roberts,L,82,87
23,Thu Feb 1 2024,REG,North Dakota State,L,73,74
24,Sun Feb 4 2024,REG,South Dakota,W,70,67
25,Sat Feb 10 2024,REG,Oral Roberts,W,83,72
26,Thu Feb 15 2024,REG,Kansas City,L,67,72
27,Sat Feb 17 2024,REG,Omaha,W,85,77
28,Thu Feb 22 2024,REG,Denver,W,97,70
29,Sat Feb 24 2024,REG,St. Thomas,W,77,72
30,Thu Feb 29 2024,REG,North Dakota,W,72,62
31,Sat Mar 2 2024,REG,North Dakota State,W,78,61
32,Sat Mar 9 2024,CTOURN,Oral Roberts,W,79,63
33,Mon Mar 11 2024,CTOURN,St. Thomas,W,59,49
34,Tue Mar 12 2024,CTOURN,Denver,W,76,68
35,Thu Mar 21 2024,NCAA,Iowa State (4),L,65,82
