G,Date,Type,Opponent,,Tm,Opp
1,Mon Nov 6 2023,REG,Trinity Baptist,W,109,54
2,Sat Nov 11 2023,REG,Nevada-Las Vegas,L,55,71
3,Mon Nov 13 2023,REG,Houston (6),L,48,79
4,Mon Nov 20 2023,REG,Milwaukee,W,85,67
5,Tue Nov 21 2023,REG,Central Michigan,W,71,61
6,Sun Nov 26 2023,REG,UCF,W,85,82
7,Wed Nov 29 2023,REG,Coastal Georgia,W,94,49
8,Sun Dec 3 2023,REG,Chicago State,L,54,77
9,Tue Dec 5 2023,REG,Charlotte,L,62,85
10,Sun Dec 10 2023,REG,Johnson (FL),W,123,43
11,Sun Dec 17 2023,REG,Omaha,L,80,88
12,Tue Dec 19 2023,REG,Florida International,W,80,68
13,Fri Dec 22 2023,REG,Cincinnati,L,75,83
14,Fri Dec 29 2023,REG,Charlotte,W,79,75
15,Thu Jan 4 2024,REG,North Florida,W,75,74
16,Sat Jan 6 2024,REG,Jacksonville,W,71,55
17,Wed Jan 10 2024,REG,Kennesaw State,L,70,88
18,Fri Jan 12 2024,REG,Queens (NC),W,84,66
19,Mon Jan 15 2024,REG,Chicago State,L,70,77
20,Sat Jan 20 2024,REG,Florida Gulf Coast,L,56,80
21,Thu Jan 25 2024,REG,Austin Peay,W,83,82
22,Sat Jan 27 2024,REG,Lipscomb,W,80,59
23,Thu Feb 1 2024,REG,North Alabama,L,72,79
24,Sat Feb 3 2024,REG,Central Arkansas,W,73,62
25,Wed Feb 7 2024,REG,Bellarmine,W,84,77
26,Sat Feb 10 2024,REG,Eastern Kentucky,W,87,79
27,Sat Feb 17 2024,REG,Florida Gulf Coast,W,61,60
28,Thu Feb 22 2024,REG,Queens (NC),L,75,83
29,Sat Feb 24 2024,REG,Kennesaw State,W,84,72
30,Wed Feb 28 2024,REG,Jacksonville,W,86,73
31,Fri Mar 1 2024,REG,North Florida,L,59,78
32,Tue Mar 5 2024,REG,Queens (NC),W,83,71
33,Thu Mar 7 2024,CTOURN,Jacksonville,W,88,87
34,Sun Mar 10 2024,CTOURN,Austin Peay,W,94,91
35,Fri Mar 22 2024,NCAA,Connecticut (1),L,52,91
