G,Date,Type,Opponent,,Tm,Opp
1,Mon Nov 6 2023,REG,Southern,W,108,75
2,Thu Nov 9 2023,REG,Omaha,W,82,60
3,Tue Nov 14 2023,REG,Texas-Rio Grande Valley,W,88,55
4,Fri Nov 17 2023,REG,Mississippi Valley State,W,86,52
5,Tue Nov 21 2023,REG,Alcorn State,W,93,74
6,Mon Nov 27 2023,REG,Houston Christian,W,101,64
7,Sat Dec 2 2023,REG,Georgetown,W,84,83
8,Sat Dec 9 2023,REG,Clemson (24),L,66,74
9,Sat Dec 16 2023,REG,Arizona State,W,79,59
10,Thu Dec 21 2023,REG,Old Dominion,W,111,87
11,Fri Dec 22 2023,REG,Nevada,L,75,88
12,Sun Dec 24 2023,REG,Hawaii,W,65,51
13,Mon Jan 1 2024,REG,East Texas A&M,W,77,42
14,Sat Jan 6 2024,REG,Kansas (2),L,81,83
15,Wed Jan 10 2024,REG,Oklahoma (9),W,80,71
16,Sat Jan 13 2024,REG,Houston (2),W,68,67
17,Tue Jan 16 2024,REG,Cincinnati,L,77,81
18,Sat Jan 20 2024,REG,Iowa State (24),L,72,73
19,Tue Jan 23 2024,REG,Oklahoma State,W,74,69
20,Sat Jan 27 2024,REG,Baylor (15),W,105,102
21,Tue Jan 30 2024,REG,Texas Tech (15),W,85,78
22,Sat Feb 3 2024,REG,Texas,L,66,77
23,Sat Feb 10 2024,REG,Iowa State (14),L,59,71
24,Mon Feb 12 2024,REG,West Virginia,W,81,65
25,Sat Feb 17 2024,REG,Kansas State,W,75,72
26,Tue Feb 20 2024,REG,Texas Tech (23),L,81,82
27,Sat Feb 24 2024,REG,Cincinnati,W,75,57
28,Mon Feb 26 2024,REG,Baylor (15),L,54,62
29,Sat Mar 2 2024,REG,Brigham Young,L,75,87
30,Wed Mar 6 2024,REG,West Virginia,W,93,81
31,Sat Mar 9 2024,REG,UCF,L,77,79
32,Wed Mar 13 2024,CTOURN,Oklahoma,W,77,70
33,Thu Mar 14 2024,CTOURN,Houston (1),L,45,60
34,Fri Mar 22 2024,NCAA,Utah State (20),L,72,88
