Seed,Team,Record,,Data Gathered from:
1,UConn,31-3,,https://www.sports-reference.com/cbb/
2,Houston,30-4,,
3,Purdue,29-4,,
4,North Carolina,27-7,,
5,Tennessee,24-8,,
6,Arizona,25-8,,
7,Marquette,25-9,,
8,Iowa St.,27-7,,
9,Baylor,23-10,,
10,Creighton,23-9,,
11,Kentucky,23-9,,
12,Illinois,26-8,,
13,Duke,24-8,,
14,Kansas,22-10,,
15,Auburn,27-7,,
16,Alabama,21-11,,
17,BYU,23-10,,
18,San Diego St.,24-10,,
19,Wisconsin,22-13,,
20,Saint Mary's,26-7,,
21,Gonzaga,25-7,,
22,Clemson,21-11,,
23,Texas Tech,23-10,,
24,South Carolina,26-7,,
25,Florida,24-11,,
26,Washington St.,24-9,,
27,Texas,20-12,,
28,Dayton,24-7,,
29,Nebraska,23-10,,
30,Utah St.,27-6,,
31,Fla. Atlantic,25-8,,
32,Mississippi St.,21-13,,
33,Michigan St.,19-14,,
34,Texas A&M,20-14,,
35,TCU,21-12,,
36,Northwestern,21-11,,
37,Nevada,26-7,,
38,Boise St.,22-10,,
39,Colorado,24-10,,
40,Drake,28-6,,
41,Virginia,23-10,,
42,New Mexico,26-9,,
43,Oregon,23-11,,
44,Colorado St.,24-10,,
45,NC State,22-14,,
46,Duquesne,24-11,,
47,Grand Canyon,29-4,,
48,James Madison,31-3,,
49,McNeese,30-3,,
50,UAB,22-11,,
51,Vermont,28-6,,
52,Yale,22-9,,
53,Samford,29-5,,
54,Col. of Charleston,27-7,,
55,Oakland,23-11,,
56,Akron,24-10,,
57,Morehead St.,26-8,,
58,Colgate,25-9,,
59,Long Beach St.,21-14,,
60,Western Ky.,22-11,,
61,South Dakota St.,22-12,,
62,Saint Peter's,19-13,,
63,Longwood,21-13,,
64,Stetson,22-12,,
65,Montana St.,17-17,,
66,Grambling,20-14,,
67,Howard,18-16,,
68,Wagner,16-15,,
