G,Date,Type,Opponent,W/L,Tm,Opp
1,Mon Nov 6 2023,REG,Tennessee Tech,W,80,42
2,Fri Nov 10 2023,REG,Wisconsin,W,80,70
3,Tue Nov 14 2023,REG,Wofford,W,82,61
4,Mon Nov 20 2023,REG,Syracuse,W,73,56
5,Tue Nov 21 2023,REG,Purdue (2),L,67,71
6,Wed Nov 22 2023,REG,Kansas (1),L,60,69
7,Wed Nov 29 2023,REG,North Carolina (17),L,92,100
8,Tue Dec 5 2023,REG,George Mason,W,87,66
9,Sat Dec 9 2023,REG,Illinois (20),W,86,79
10,Tue Dec 12 2023,REG,Georgia Southern,W,74,56
11,Sat Dec 16 2023,REG,NC State,W,79,70
12,Thu Dec 21 2023,REG,Tarleton State,W,65,46
13,Tue Jan 2 2024,REG,Norfolk State,W,87,50
14,Sat Jan 6 2024,REG,Mississippi (22),W,90,64
15,Wed Jan 10 2024,REG,Mississippi State,L,72,77
16,Sat Jan 13 2024,REG,Georgia,W,85,79
17,Tue Jan 16 2024,REG,Florida,W,85,66
18,Sat Jan 20 2024,REG,Alabama,W,91,71
19,Sat Jan 27 2024,REG,Vanderbilt,W,75,62
20,Tue Jan 30 2024,REG,South Carolina,L,59,63
21,Sat Feb 3 2024,REG,Kentucky (10),W,103,92
22,Wed Feb 7 2024,REG,Louisiana State,W,88,68
23,Sat Feb 10 2024,REG,Texas A&M,L,69,85
24,Wed Feb 14 2024,REG,Arkansas,W,92,63
25,Sat Feb 17 2024,REG,Vanderbilt,W,88,53
26,Tue Feb 20 2024,REG,Missouri,W,72,67
27,Sat Feb 24 2024,REG,Texas A&M,W,86,51
28,Wed Feb 28 2024,REG,Auburn (11),W,92,84
29,Sat Mar 2 2024,REG,Alabama (14),W,81,74
30,Wed Mar 6 2024,REG,South Carolina (17),W,66,59
31,Sat Mar 9 2024,REG,Kentucky (15),L,81,85
32,Fri Mar 15 2024,CTOURN,Mississippi State,L,56,73
33,Thu Mar 21 2024,NCAA,Saint Peter's,W,83,49
34,Sat Mar 23 2024,NCAA,Texas,W,62,58
35,Fri Mar 29 2024,NCAA,Creighton (11),W,82,75
36,Sun Mar 31 2024,NCAA,Purdue (3),L,66,72
