G,Date,Type,Opponent,,Tm,Opp
1,Mon Nov 6 2023,REG,East Texas A&M,W,78,46
2,Fri Nov 10 2023,REG,Ohio State,W,73,66
3,Tue Nov 14 2023,REG,Southern Methodist,W,79,66
4,Fri Nov 17 2023,REG,Oral Roberts,W,74,66
5,Thu Nov 23 2023,REG,Penn State,W,89,77
6,Fri Nov 24 2023,REG,Florida Atlantic (19),L,89,96
7,Sun Nov 26 2023,REG,Iowa State,W,73,69
8,Wed Nov 29 2023,REG,Virginia,L,47,59
9,Wed Dec 6 2023,REG,DePaul,W,89,64
10,Sun Dec 10 2023,REG,Memphis,L,75,81
11,Sat Dec 16 2023,REG,Houston (4),L,66,70
12,Fri Dec 22 2023,REG,Houston Christian,W,79,52
13,Sat Dec 30 2023,REG,Prairie View,W,79,54
14,Sat Jan 6 2024,REG,Louisiana State,L,53,68
15,Tue Jan 9 2024,REG,Auburn (16),L,55,66
16,Sat Jan 13 2024,REG,Kentucky (6),W,97,92
17,Tue Jan 16 2024,REG,Arkansas,L,77,78
18,Sat Jan 20 2024,REG,Louisiana State,W,73,69
19,Tue Jan 23 2024,REG,Missouri,W,63,57
20,Sat Jan 27 2024,REG,Mississippi,L,68,71
21,Sat Feb 3 2024,REG,Florida,W,67,66
22,Wed Feb 7 2024,REG,Missouri,W,79,60
23,Sat Feb 10 2024,REG,Tennessee (6),W,85,69
24,Tue Feb 13 2024,REG,Vanderbilt,L,73,74
25,Sat Feb 17 2024,REG,Alabama (15),L,75,100
26,Tue Feb 20 2024,REG,Arkansas,L,71,78
27,Sat Feb 24 2024,REG,Tennessee (5),L,51,86
28,Wed Feb 28 2024,REG,South Carolina (18),L,68,70
29,Sat Mar 2 2024,REG,Georgia,W,70,56
30,Wed Mar 6 2024,REG,Mississippi State,W,75,69
31,Sat Mar 9 2024,REG,Mississippi,W,86,60
32,Thu Mar 14 2024,CTOURN,Mississippi,W,80,71
33,Fri Mar 15 2024,CTOURN,Kentucky (9),W,97,87
34,Sat Mar 16 2024,CTOURN,Florida,L,90,95
35,Fri Mar 22 2024,NCAA,Nebraska,W,98,83
36,Sun Mar 24 2024,NCAA,Houston (2),L,95,100
