G,Date,Type,Opponent,W/L,Tm,Opp
1,Wed Nov 8 2023,REG,East Texas A&M,W,73,46
2,Sun Nov 12 2023,REG,San Jose State,W,56,42
3,Thu Nov 16 2023,REG,Texas A&M-Corpus Christi,W,73,64
4,Wed Nov 22 2023,REG,Villanova,L,69,85
5,Thu Nov 23 2023,REG,Northern Iowa,W,72,70
6,Fri Nov 24 2023,REG,Michigan,W,73,57
7,Thu Nov 30 2023,REG,Butler,L,95,103
8,Wed Dec 6 2023,REG,Omaha,W,87,58
9,Tue Dec 12 2023,REG,Oral Roberts,W,82,76
10,Sat Dec 16 2023,REG,Vanderbilt,W,76,54
11,Thu Dec 21 2023,REG,UT Arlington,W,77,66
12,Thu Dec 28 2023,REG,Sam Houston,W,96,60
13,Mon Jan 1 2024,REG,North Alabama,W,85,57
14,Sat Jan 6 2024,REG,Texas (20),W,78,67
15,Tue Jan 9 2024,REG,Oklahoma State,W,90,73
16,Sat Jan 13 2024,REG,Kansas State,W,60,59
17,Wed Jan 17 2024,REG,Houston (5),L,54,77
18,Sat Jan 20 2024,REG,Brigham Young (20),W,85,78
19,Sat Jan 27 2024,REG,Oklahoma (11),W,85,84
20,Tue Jan 30 2024,REG,TCU (25),L,78,85
21,Sat Feb 3 2024,REG,Cincinnati,L,72,75
22,Tue Feb 6 2024,REG,Baylor (13),L,73,79
23,Sat Feb 10 2024,REG,UCF,W,66,59
24,Mon Feb 12 2024,REG,Kansas (6),W,79,50
25,Sat Feb 17 2024,REG,Iowa State (10),L,74,82
26,Tue Feb 20 2024,REG,TCU,W,82,81
27,Sat Feb 24 2024,REG,UCF,L,61,75
28,Tue Feb 27 2024,REG,Texas,L,69,81
29,Sat Mar 2 2024,REG,West Virginia,W,81,70
30,Tue Mar 5 2024,REG,Oklahoma State,W,75,58
31,Sat Mar 9 2024,REG,Baylor (11),W,78,68
32,Thu Mar 14 2024,CTOURN,Brigham Young (20),W,81,67
33,Fri Mar 15 2024,CTOURN,Houston (1),L,59,82
34,Thu Mar 21 2024,NCAA,NC State,L,67,80
