G,Date,Type,Opponent,W/L,Tm,Opp
1,Mon Nov 6 2023,REG,Incarnate Word,W,88,56
2,Fri Nov 10 2023,REG,Delaware State,W,86,59
3,Wed Nov 15 2023,REG,Rice,W,80,64
4,Sun Nov 19 2023,REG,Louisville,W,81,80
5,Mon Nov 20 2023,REG,Connecticut (5),L,71,81
6,Sun Nov 26 2023,REG,Wyoming,W,86,63
7,Thu Nov 30 2023,REG,Texas State,W,77,58
8,Wed Dec 6 2023,REG,Marquette (8),L,65,86
9,Sat Dec 9 2023,REG,Houston Christian,W,77,50
10,Sat Dec 16 2023,REG,Louisiana State,W,96,85
11,Fri Dec 22 2023,REG,Texas A&M-Corpus Christi,W,71,55
12,Fri Dec 29 2023,REG,UNC Greensboro,W,72,37
13,Mon Jan 1 2024,REG,UT Arlington,W,79,62
14,Sat Jan 6 2024,REG,Texas Tech,L,67,78
15,Tue Jan 9 2024,REG,Cincinnati,W,74,73
16,Sat Jan 13 2024,REG,West Virginia,L,73,76
17,Wed Jan 17 2024,REG,UCF,L,71,77
18,Sat Jan 20 2024,REG,Baylor (9),W,75,73
19,Tue Jan 23 2024,REG,Oklahoma (11),W,75,60
20,Sat Jan 27 2024,REG,Brigham Young (21),L,72,84
21,Mon Jan 29 2024,REG,Houston (4),L,72,76
22,Sat Feb 3 2024,REG,TCU (25),W,77,66
23,Tue Feb 6 2024,REG,Iowa State (14),L,65,70
24,Sat Feb 10 2024,REG,West Virginia,W,94,58
25,Sat Feb 17 2024,REG,Houston (3),L,61,82
26,Mon Feb 19 2024,REG,Kansas State,W,62,56
27,Sat Feb 24 2024,REG,Kansas (9),L,67,86
28,Tue Feb 27 2024,REG,Texas Tech,W,81,69
29,Sat Mar 2 2024,REG,Oklahoma State,W,81,65
30,Mon Mar 4 2024,REG,Baylor (11),L,85,93
31,Sat Mar 9 2024,REG,Oklahoma,W,94,80
32,Wed Mar 13 2024,CTOURN,Kansas State,L,74,78
33,Thu Mar 21 2024,NCAA,Colorado State,W,56,44
34,Sat Mar 23 2024,NCAA,Tennessee (6),L,58,62
