G,Date,Type,Opponent,,Tm,Opp
1,Mon Nov 6 2023,REG,Bradley,L,71,73
2,Fri Nov 10 2023,REG,Clemson,L,76,77
3,Sun Nov 12 2023,REG,Maryland,W,66,63
4,Thu Nov 16 2023,REG,Alcorn State,W,80,77
5,Tue Nov 21 2023,REG,Middle Tennessee,W,58,57
6,Sat Nov 25 2023,REG,Furman,W,92,86
7,Tue Nov 28 2023,REG,McNeese State,L,60,81
8,Fri Dec 1 2023,REG,Southern Mississippi,L,82,85
9,Sat Dec 9 2023,REG,Arkansas State,L,68,87
10,Wed Dec 13 2023,REG,Alabama A&M,W,93,82
11,Sun Dec 17 2023,REG,Montevallo,W,92,56
12,Fri Dec 22 2023,REG,Drake,W,79,78
13,Fri Dec 29 2023,REG,UNC Asheville,W,90,85
14,Tue Jan 2 2024,REG,UTSA,W,78,76
15,Sun Jan 7 2024,REG,South Florida,W,75,71
16,Sun Jan 14 2024,REG,Florida Atlantic (24),L,73,86
17,Wed Jan 17 2024,REG,Tulane,W,83,69
18,Sat Jan 20 2024,REG,East Carolina,W,69,61
19,Tue Jan 23 2024,REG,Charlotte,L,70,76
20,Sun Jan 28 2024,REG,Memphis (19),W,97,88
21,Wed Jan 31 2024,REG,North Texas,W,82,79
22,Sun Feb 4 2024,REG,Southern Methodist,L,69,72
23,Thu Feb 8 2024,REG,Florida Atlantic (20),W,76,73
24,Sun Feb 11 2024,REG,Tulsa,W,70,63
25,Sun Feb 18 2024,REG,North Texas,W,71,62
26,Wed Feb 21 2024,REG,Rice,L,71,94
27,Sun Feb 25 2024,REG,Tulane,W,78,67
28,Wed Feb 28 2024,REG,Wichita State,L,66,74
29,Sun Mar 3 2024,REG,Memphis,L,87,106
30,Thu Mar 7 2024,REG,Temple,W,100,72
31,Sun Mar 10 2024,REG,Southern Methodist,W,74,70
32,Fri Mar 15 2024,CTOURN,Wichita State,W,72,60
33,Sat Mar 16 2024,CTOURN,South Florida,W,93,83
34,Sun Mar 17 2024,CTOURN,Temple,W,85,69
35,Fri Mar 22 2024,NCAA,San Diego State (24),L,65,69
