G,Date,Type,Opponent,W/L,Tm,Opp
1,Mon Nov 6 2023,REG,Northern Arizona,W,95,52
2,Sat Nov 11 2023,REG,Stonehill,W,107,67
3,Tue Nov 14 2023,REG,Mississippi Valley State,W,87,53
4,Sun Nov 19 2023,REG,Indiana,W,77,57
5,Mon Nov 20 2023,REG,Texas (15),W,81,71
6,Fri Nov 24 2023,REG,Manhattan,W,90,60
7,Mon Nov 27 2023,REG,New Hampshire,W,84,64
8,Fri Dec 1 2023,REG,Kansas (5),L,65,69
9,Tue Dec 5 2023,REG,North Carolina (9),W,87,76
10,Sat Dec 9 2023,REG,Arkansas-Pine Bluff,W,101,63
11,Fri Dec 15 2023,REG,Gonzaga (10),W,76,63
12,Wed Dec 20 2023,REG,Seton Hall,L,60,75
13,Sat Dec 23 2023,REG,St. John's (NY),W,69,65
14,Tue Jan 2 2024,REG,DePaul,W,85,56
15,Fri Jan 5 2024,REG,Butler,W,88,81
16,Wed Jan 10 2024,REG,Xavier,W,80,75
17,Sun Jan 14 2024,REG,Georgetown,W,80,67
18,Wed Jan 17 2024,REG,Creighton (18),W,62,48
19,Sat Jan 20 2024,REG,Villanova,W,66,65
20,Sun Jan 28 2024,REG,Xavier,W,99,56
21,Wed Jan 31 2024,REG,Providence,W,74,65
22,Sat Feb 3 2024,REG,St. John's (NY),W,77,64
23,Tue Feb 6 2024,REG,Butler,W,71,62
24,Sat Feb 10 2024,REG,Georgetown,W,89,64
25,Wed Feb 14 2024,REG,DePaul,W,101,65
26,Sat Feb 17 2024,REG,Marquette (4),W,81,53
27,Tue Feb 20 2024,REG,Creighton (15),L,66,85
28,Sat Feb 24 2024,REG,Villanova,W,78,54
29,Sun Mar 3 2024,REG,Seton Hall,W,91,61
30,Wed Mar 6 2024,REG,Marquette (8),W,74,67
31,Sat Mar 9 2024,REG,Providence,W,74,60
32,Thu Mar 14 2024,CTOURN,Xavier,W,87,60
33,Fri Mar 15 2024,CTOURN,St. John's (NY),W,95,90
34,Sat Mar 16 2024,CTOURN,Marquette (10),W,73,57
35,Fri Mar 22 2024,NCAA,Stetson,W,91,52
36,Sun Mar 24 2024,NCAA,Northwestern,W,75,58
37,Thu Mar 28 2024,NCAA,San Diego State (24),W,82,52
38,Sat Mar 30 2024,NCAA,Illinois (10),W,77,52
39,Sat Apr 6 2024,NCAA,Alabama (19),W,86,72
40,Mon Apr 8 2024,NCAA,Purdue (3),W,75,60
