G,Date,Type,Opponent,W/L,Tm,Opp
1,Mon Nov 6 2023,REG,Radford,W,86,70
2,Sun Nov 12 2023,REG,Lehigh,W,90,68
3,Fri Nov 17 2023,REG,UC Riverside,W,77,52
4,Wed Nov 22 2023,REG,Northern Iowa,W,91,69
5,Thu Nov 23 2023,REG,Villanova,L,81,83
6,Fri Nov 24 2023,REG,Arkansas (20),W,87,72
7,Wed Nov 29 2023,REG,Tennessee (10),W,100,92
8,Sat Dec 2 2023,REG,Florida State,W,78,70
9,Tue Dec 5 2023,REG,Connecticut (5),L,76,87
10,Sat Dec 16 2023,REG,Kentucky (14),L,83,87
11,Wed Dec 20 2023,REG,Oklahoma (7),W,81,69
12,Fri Dec 29 2023,REG,Charleston Southern,W,105,60
13,Tue Jan 2 2024,REG,Pittsburgh,W,70,57
14,Sat Jan 6 2024,REG,Clemson (16),W,65,55
15,Wed Jan 10 2024,REG,NC State,W,67,54
16,Sat Jan 13 2024,REG,Syracuse,W,103,67
17,Wed Jan 17 2024,REG,Louisville,W,86,70
18,Sat Jan 20 2024,REG,Boston College,W,76,66
19,Mon Jan 22 2024,REG,Wake Forest,W,85,64
20,Sat Jan 27 2024,REG,Florida State,W,75,68
21,Tue Jan 30 2024,REG,Georgia Tech,L,73,74
22,Sat Feb 3 2024,REG,Duke (7),W,93,84
23,Tue Feb 6 2024,REG,Clemson,L,76,80
24,Sat Feb 10 2024,REG,Miami (FL),W,75,72
25,Tue Feb 13 2024,REG,Syracuse,L,79,86
26,Sat Feb 17 2024,REG,Virginia Tech,W,96,81
27,Sat Feb 24 2024,REG,Virginia,W,54,44
28,Mon Feb 26 2024,REG,Miami (FL),W,75,71
29,Sat Mar 2 2024,REG,NC State,W,79,70
30,Tue Mar 5 2024,REG,Notre Dame,W,84,51
31,Sat Mar 9 2024,REG,Duke (9),W,84,79
32,Thu Mar 14 2024,CTOURN,Florida State,W,92,67
33,Fri Mar 15 2024,CTOURN,Pittsburgh,W,72,65
34,Sat Mar 16 2024,CTOURN,NC State,L,76,84
35,Thu Mar 21 2024,NCAA,Wagner,W,90,62
36,Sat Mar 23 2024,NCAA,Michigan State,W,85,69
37,Thu Mar 28 2024,NCAA,Alabama (19),L,87,89
