G,Date,Type,Opponent,W/L,Tm,Opp
1,Mon Nov 6 2023,REG,South Dakota Mines,W,101,48
2,Sat Nov 11 2023,REG,Bradley,L,66,72
3,Tue Nov 14 2023,REG,Southern Utah,W,93,84
4,Sun Nov 19 2023,REG,Marshall,W,83,60
5,Mon Nov 20 2023,REG,Akron,W,65,62
6,Tue Nov 21 2023,REG,Stephen F. Austin,W,79,49
7,Tue Nov 28 2023,REG,Saint Louis,W,81,76
8,Sat Dec 2 2023,REG,UC Irvine,W,79,69
9,Wed Dec 6 2023,REG,San Diego,W,108,81
10,Sat Dec 9 2023,REG,Northwest Nazarene,W,84,53
11,Wed Dec 13 2023,REG,Santa Clara,W,84,82
12,Sat Dec 16 2023,REG,San Francisco,W,54,53
13,Fri Dec 22 2023,REG,East Tennessee State,W,80,65
14,Tue Jan 2 2024,REG,Air Force,W,88,60
15,Sat Jan 6 2024,REG,Colorado State (13),W,77,72
16,Tue Jan 9 2024,REG,Wyoming,W,83,59
17,Sat Jan 13 2024,REG,Nevada-Las Vegas,W,87,86
18,Tue Jan 16 2024,REG,New Mexico,L,86,99
19,Sat Jan 20 2024,REG,Fresno State,W,83,62
20,Sat Jan 27 2024,REG,Boise State,W,90,84
21,Tue Jan 30 2024,REG,San Jose State,W,82,61
22,Sat Feb 3 2024,REG,San Diego State,L,67,81
23,Tue Feb 6 2024,REG,Nevada,L,63,77
24,Sat Feb 10 2024,REG,Boise State,W,80,61
25,Wed Feb 14 2024,REG,Wyoming,W,84,76
26,Sat Feb 17 2024,REG,Colorado State,L,55,75
27,Tue Feb 20 2024,REG,San Diego State (19),W,68,63
28,Tue Feb 27 2024,REG,Fresno State,W,77,73
29,Fri Mar 1 2024,REG,Air Force,W,72,60
30,Wed Mar 6 2024,REG,San Jose State,W,90,70
31,Sat Mar 9 2024,REG,New Mexico,W,87,85
32,Thu Mar 14 2024,CTOURN,Fresno State,W,87,75
33,Fri Mar 15 2024,CTOURN,San Diego State,L,70,86
34,Fri Mar 22 2024,NCAA,TCU,W,88,72
35,Sun Mar 24 2024,NCAA,Purdue (3),L,67,106
