G,Date,Type,Opponent,,Tm,Opp
1,Mon Nov 6 2023,REG,Tarleton State,W,80,50
2,Fri Nov 10 2023,REG,Florida,W,73,70
3,Tue Nov 14 2023,REG,North Carolina A&T,W,80,51
4,Thu Nov 16 2023,REG,Texas Southern,W,62,33
5,Mon Nov 20 2023,REG,Wisconsin,L,41,65
6,Wed Nov 22 2023,REG,West Virginia,W,56,54
7,Wed Nov 29 2023,REG,Texas A&M (14),W,59,47
8,Sat Dec 2 2023,REG,Syracuse,W,84,62
9,Tue Dec 5 2023,REG,North Carolina Central,W,77,47
10,Sat Dec 16 2023,REG,Northeastern,W,56,54
11,Tue Dec 19 2023,REG,Memphis (23),L,54,77
12,Wed Dec 27 2023,REG,Morgan State,W,79,44
13,Sat Dec 30 2023,REG,Notre Dame,L,54,76
14,Wed Jan 3 2024,REG,Louisville,W,77,53
15,Sat Jan 6 2024,REG,NC State,L,60,76
16,Sat Jan 13 2024,REG,Wake Forest,L,47,66
17,Wed Jan 17 2024,REG,Virginia Tech,W,65,57
18,Sat Jan 20 2024,REG,Georgia Tech,W,75,66
19,Wed Jan 24 2024,REG,NC State,W,59,53
20,Sat Jan 27 2024,REG,Louisville,W,69,52
21,Wed Jan 31 2024,REG,Notre Dame,W,65,53
22,Sat Feb 3 2024,REG,Clemson,W,66,65
23,Mon Feb 5 2024,REG,Miami (FL),W,60,38
24,Sat Feb 10 2024,REG,Florida State,W,80,76
25,Tue Feb 13 2024,REG,Pittsburgh,L,63,74
26,Sat Feb 17 2024,REG,Wake Forest,W,49,47
27,Mon Feb 19 2024,REG,Virginia Tech,L,41,75
28,Sat Feb 24 2024,REG,North Carolina (10),L,44,54
29,Wed Feb 28 2024,REG,Boston College,W,72,68
30,Sat Mar 2 2024,REG,Duke (10),L,48,73
31,Sat Mar 9 2024,REG,Georgia Tech,W,72,57
32,Thu Mar 14 2024,CTOURN,Boston College,W,66,60
33,Fri Mar 15 2024,CTOURN,NC State,L,65,73
34,Tue Mar 19 2024,NCAA,Colorado State,L,42,67
