G,Date,Type,Opponent,,Tm,Opp
1,Mon Nov 6 2023,REG,Fordham,L,64,68
2,Thu Nov 9 2023,REG,Molloy,W,83,48
3,Tue Nov 14 2023,REG,Rhode Island,L,53,69
4,Sat Nov 18 2023,REG,Seton Hall,L,51,72
5,Sat Nov 25 2023,REG,NJIT,W,64,51
6,Tue Nov 28 2023,REG,Providence,L,52,86
7,Sat Dec 2 2023,REG,Stony Brook,W,60,59
8,Wed Dec 6 2023,REG,Coppin State,W,62,59
9,Sun Dec 10 2023,REG,Boston University,L,59,73
10,Sun Dec 17 2023,REG,Fairfield,L,51,63
11,Fri Dec 22 2023,REG,Gwynedd-Mercy,W,98,49
12,Sat Dec 30 2023,REG,Manhattan,W,68,56
13,Thu Jan 4 2024,REG,Long Island University,L,67,69
14,Sat Jan 6 2024,REG,Saint Francis (PA),W,71,56
15,Mon Jan 15 2024,REG,Stonehill,W,64,54
16,Fri Jan 19 2024,REG,Merrimack,W,71,65
17,Sun Jan 21 2024,REG,Sacred Heart,L,61,66
18,Thu Jan 25 2024,REG,Merrimack,L,44,60
19,Sat Jan 27 2024,REG,Central Connecticut State,L,68,69
20,Thu Feb 1 2024,REG,Le Moyne,W,80,57
21,Sat Feb 3 2024,REG,Stonehill,L,61,71
22,Thu Feb 8 2024,REG,FDU,W,66,62
23,Thu Feb 15 2024,REG,Saint Francis (PA),W,65,63
24,Sat Feb 17 2024,REG,Sacred Heart,L,53,63
25,Thu Feb 22 2024,REG,Central Connecticut State,L,72,73
26,Sun Feb 25 2024,REG,Long Island University,W,72,57
27,Thu Feb 29 2024,REG,Le Moyne,L,56,70
28,Sat Mar 2 2024,REG,FDU,L,54,57
29,Wed Mar 6 2024,CTOURN,Sacred Heart,W,60,57
30,Sat Mar 9 2024,CTOURN,Central Connecticut State,W,66,56
31,Tue Mar 12 2024,CTOURN,Merrimack,W,54,47
32,Tue Mar 19 2024,NCAA,Howard,W,71,68
33,Thu Mar 21 2024,NCAA,North Carolina (5),L,62,90
