G,Date,Type,Opponent,W/L,Tm,Opp
1,Mon Nov 6 2023,REG,Idaho,W,84,59
2,Fri Nov 10 2023,REG,Prairie View,W,83,65
3,Sat Nov 18 2023,REG,Mississippi State,L,64,76
4,Sun Nov 19 2023,REG,Rhode Island,W,78,57
5,Fri Nov 24 2023,REG,Utah Tech,W,93,53
6,Mon Nov 27 2023,REG,Eastern Washington,W,82,72
7,Sat Dec 2 2023,REG,Portland State,W,71,61
8,Wed Dec 6 2023,REG,UC Riverside,W,86,49
9,Sun Dec 10 2023,REG,Grambling,W,83,65
10,Sat Dec 16 2023,REG,Santa Clara,L,61,69
11,Thu Dec 21 2023,REG,Boise State,W,66,61
12,Fri Dec 29 2023,REG,Utah,L,58,80
13,Sun Dec 31 2023,REG,Colorado,L,67,74
14,Thu Jan 4 2024,REG,Oregon State,W,65,58
15,Sat Jan 6 2024,REG,Oregon,L,84,89
16,Wed Jan 10 2024,REG,Southern California,W,72,64
17,Sat Jan 13 2024,REG,Arizona (8),W,73,70
18,Thu Jan 18 2024,REG,Stanford,W,89,75
19,Sat Jan 20 2024,REG,California,L,75,81
20,Wed Jan 24 2024,REG,Utah,W,79,57
21,Sat Jan 27 2024,REG,Colorado,W,78,69
22,Sat Feb 3 2024,REG,Washington,W,90,87
23,Thu Feb 8 2024,REG,Oregon State,W,64,58
24,Sat Feb 10 2024,REG,Oregon,W,62,56
25,Thu Feb 15 2024,REG,California,W,84,65
26,Sat Feb 17 2024,REG,Stanford,W,72,59
27,Thu Feb 22 2024,REG,Arizona (4),W,77,74
28,Sat Feb 24 2024,REG,Arizona State,L,61,73
29,Thu Feb 29 2024,REG,Southern California,W,75,72
30,Sat Mar 2 2024,REG,UCLA,W,77,65
31,Thu Mar 7 2024,REG,Washington,L,68,74
32,Thu Mar 14 2024,CTOURN,Stanford,W,79,62
33,Fri Mar 15 2024,CTOURN,Colorado,L,52,58
34,Thu Mar 21 2024,NCAA,Drake,W,66,61
35,Sat Mar 23 2024,NCAA,Iowa State (4),L,56,67
