G,Date,Type,Opponent,,Tm,Opp
1,Mon Nov 6 2023,REG,Kentucky Wesleyan,W,90,64
2,Thu Nov 9 2023,REG,Wichita State,L,61,71
3,Tue Nov 14 2023,REG,Murray State,W,86,81
4,Sat Nov 18 2023,REG,Kentucky State,W,95,75
5,Fri Nov 24 2023,REG,Bowling Green State,W,72,65
6,Sat Nov 25 2023,REG,Canisius,L,77,85
7,Sun Nov 26 2023,REG,UNC Asheville,L,67,77
8,Wed Nov 29 2023,REG,Campbellsville,W,101,77
9,Sun Dec 3 2023,REG,Eastern Kentucky,W,79,69
10,Sat Dec 9 2023,REG,Buffalo,W,82,65
11,Tue Dec 12 2023,REG,Wright State,W,91,84
12,Sat Dec 16 2023,REG,Austin Peay,W,65,64
13,Tue Dec 19 2023,REG,California Baptist,W,73,70
14,Sat Dec 30 2023,REG,Abilene Christian,W,86,84
15,Sat Jan 6 2024,REG,Liberty,W,70,68
16,Wed Jan 10 2024,REG,Sam Houston,L,74,78
17,Sat Jan 13 2024,REG,Jacksonville State,W,80,69
18,Thu Jan 18 2024,REG,New Mexico State,L,70,72
19,Sat Jan 20 2024,REG,UTEP,L,87,93
20,Thu Jan 25 2024,REG,Florida International,W,105,91
21,Thu Feb 1 2024,REG,Sam Houston,L,77,79
22,Sat Feb 3 2024,REG,Middle Tennessee,W,88,65
23,Wed Feb 7 2024,REG,Louisiana Tech,W,81,76
24,Sat Feb 10 2024,REG,Jacksonville State,W,70,59
25,Thu Feb 15 2024,REG,UTEP,W,90,80
26,Sat Feb 17 2024,REG,New Mexico State,W,72,58
27,Sat Feb 24 2024,REG,Middle Tennessee,L,72,74
28,Wed Feb 28 2024,REG,Louisiana Tech,L,84,90
29,Sat Mar 2 2024,REG,Florida International,L,83,85
30,Sat Mar 9 2024,REG,Liberty,L,79,82
31,Thu Mar 14 2024,CTOURN,New Mexico State,W,89,69
32,Fri Mar 15 2024,CTOURN,Middle Tennessee,W,85,54
33,Sat Mar 16 2024,CTOURN,UTEP,W,78,71
34,Fri Mar 22 2024,NCAA,Marquette (8),L,69,87
